project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
FilterLists,4996,3efe710a1c966d04244e1aa0bb8b9b55,1,1,1,ini_mei_final,0.0,1.0
FilterLists,4996,3efe710a1c966d04244e1aa0bb8b9b55,1,1,1,ini_mei_final,0.0,1.0
FilterLists,4998,3efe710a1c966d04244e1aa0bb8b9b55,1,1,1,ini_mei_final,0.0,1.0
FilterLists,4998,3efe710a1c966d04244e1aa0bb8b9b55,1,1,1,ini_mei_final,0.0,1.0
FilterLists,4999,3efe710a1c966d04244e1aa0bb8b9b55,1,2,2,ini_mei_final,0.0,1.0
FilterLists,4999,3efe710a1c966d04244e1aa0bb8b9b55,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5000,3efe710a1c966d04244e1aa0bb8b9b55,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5001,3efe710a1c966d04244e1aa0bb8b9b55,3,3,3,unique_final,1.0,0.3333
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5002,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5003,db4236442ffb76d3f5ff25df48dd0098,1,1,2,unique_ini,0.0,0.5
FilterLists,5003,db4236442ffb76d3f5ff25df48dd0098,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5003,db4236442ffb76d3f5ff25df48dd0098,2,2,2,unique_final,1.0,0.5
FilterLists,5003,db4236442ffb76d3f5ff25df48dd0098,2,2,2,unique_final,1.0,0.5
FilterLists,5015,db4236442ffb76d3f5ff25df48dd0098,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5015,db4236442ffb76d3f5ff25df48dd0098,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5018,9d49a3c415b7a424a34b1ee18e08a8f4,2,3,3,mei_final,0.6667,0.6667
FilterLists,5018,9d49a3c415b7a424a34b1ee18e08a8f4,2,3,3,mei_final,0.6667,0.6667
FilterLists,5020,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5020,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5021,02e40bf90a30936320400bfbfac0f085,1,1,2,unique_ini,0.0,0.5
FilterLists,5021,02e40bf90a30936320400bfbfac0f085,1,2,2,ini_mei_final,0.0,1.0
FilterLists,5021,02e40bf90a30936320400bfbfac0f085,2,2,2,unique_final,1.0,0.5
FilterLists,5021,02e40bf90a30936320400bfbfac0f085,2,2,2,unique_final,1.0,0.5
FilterLists,5022,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5022,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5023,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5023,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5024,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5024,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5025,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5034,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5034,02e40bf90a30936320400bfbfac0f085,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5038,b9607df0f62d154ac3e8aeb413c442c5,1,1,1,ini_mei_final,0.0,1.0
FilterLists,5038,b9607df0f62d154ac3e8aeb413c442c5,1,1,1,ini_mei_final,0.0,1.0
