project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Harmony,671,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,671,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,673,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,676,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,677,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,6dea301f73ab3bb73cd0c0e8f9dce488,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,d0d7a7dc2e419c5b339142851afd96c5,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,7ad0875885a1c2f57e2cd0658585d398,1,1,1,ini_mei_final,0.0,1.0
Harmony,678,3bcf86f0fa57537bafbf90b1f54e3f47,1,1,1,ini_mei_final,0.0,1.0
