project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
OpenAPI.NET,2376,9151492f9bdded83db81670fcdc1453c,2,2,28,unique_mei,0.0714,0.0357
OpenAPI.NET,2376,9151492f9bdded83db81670fcdc1453c,2,2,28,unique_mei,0.0714,0.0357
OpenAPI.NET,2376,9151492f9bdded83db81670fcdc1453c,3,9,28,mei,0.1071,0.25
OpenAPI.NET,2376,9151492f9bdded83db81670fcdc1453c,3,9,28,mei,0.1071,0.25
OpenAPI.NET,2376,0d2a38681c6280e91d8b4f92d1380604,10,28,28,mei_final,0.3571,0.6786
OpenAPI.NET,2376,0d2a38681c6280e91d8b4f92d1380604,10,28,28,mei_final,0.3571,0.6786
OpenAPI.NET,2376,1c8bd70545a4a7ad25c946e8a34b946e,18,28,28,mei_final,0.6429,0.3929
OpenAPI.NET,2376,1c8bd70545a4a7ad25c946e8a34b946e,18,28,28,mei_final,0.6429,0.3929
OpenAPI.NET,2376,cd12899d107e698d8ff3acce31cef9eb,20,28,28,mei_final,0.7143,0.3214
OpenAPI.NET,2376,cd12899d107e698d8ff3acce31cef9eb,20,28,28,mei_final,0.7143,0.3214
OpenAPI.NET,2376,1391bbada01921d724b520d0ca9b88bf,21,28,28,mei_final,0.75,0.2857
OpenAPI.NET,2376,1391bbada01921d724b520d0ca9b88bf,21,28,28,mei_final,0.75,0.2857
OpenAPI.NET,2376,f6b903e7178b3da184afb87e9eca5a5c,22,28,28,mei_final,0.7857,0.25
OpenAPI.NET,2376,f6b903e7178b3da184afb87e9eca5a5c,22,28,28,mei_final,0.7857,0.25
OpenAPI.NET,2376,09df2c9f7be69c8cc304d2a259a0838e,23,28,28,mei_final,0.8214,0.2143
OpenAPI.NET,2376,09df2c9f7be69c8cc304d2a259a0838e,23,28,28,mei_final,0.8214,0.2143
OpenAPI.NET,2376,8ca882323c15fea8ab32a1d0e8cf1599,24,28,28,mei_final,0.8571,0.1786
OpenAPI.NET,2376,8ca882323c15fea8ab32a1d0e8cf1599,24,28,28,mei_final,0.8571,0.1786
OpenAPI.NET,2376,b1886dfbe04b07ad2338a88193497242,25,28,28,mei_final,0.8929,0.1429
OpenAPI.NET,2376,b1886dfbe04b07ad2338a88193497242,25,28,28,mei_final,0.8929,0.1429
OpenAPI.NET,2376,ef50d007a4f18f45e38888db534856c8,26,28,28,mei_final,0.9286,0.1071
OpenAPI.NET,2376,ef50d007a4f18f45e38888db534856c8,26,28,28,mei_final,0.9286,0.1071
