project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
OpenDeepWiki,197,3b56c88066d5a1836aea7d3c64971e5d,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,f2a54e75c00c2130f161f68ff1f90deb,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,d94d82e31570feb3bc493e6be53646e4,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,9a9e036b928c4bff7a9d2c148539c60b,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,172263f8421b03fbd4d62f3aeae8d366,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,2df0342051a0d596e59012f23044b16e,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,67ec5fb334d3f6fbd8980b3c4d94c5a8,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,d3a1902004d4d705d673d2694c0d85bc,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,171ec909f456c14ea601a59ba4388c24,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,943bc2b8765f65765f861b3bf8b7ab5d,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,e7843223bdb93e319baa1e7d56e4262a,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,d375e43cd2651c959138ea13505e6798,3,3,3,unique_final,1.0,0.3333
OpenDeepWiki,197,7808b332ed2d7b8afcfb4560d999ec90,3,3,3,unique_final,1.0,0.3333
