project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
android,10274,059c2152c9728dddc6e1ccfedf6fa93c,1,2,4,ini_mei,0.0,0.5
android,10274,8699e441b9c07d3e79b7243e08cbad1c,1,2,4,ini_mei,0.0,0.5
android,10274,059c2152c9728dddc6e1ccfedf6fa93c,1,2,4,ini_mei,0.0,0.5
android,10274,8699e441b9c07d3e79b7243e08cbad1c,1,2,4,ini_mei,0.0,0.5
android,10274,08e4bc80c2df76715efd834f62c91c85,1,3,4,ini_mei,0.0,0.75
android,10274,c524ec79863dffe6af9c929b0486feb8,3,4,4,mei_final,0.75,0.5
android,10274,e305be634bff315e71bd7dd71448553c,3,4,4,mei_final,0.75,0.5
android,10274,7d6218775ead13b4504fdb7c1516374f,3,4,4,mei_final,0.75,0.5
android,10274,c524ec79863dffe6af9c929b0486feb8,3,4,4,mei_final,0.75,0.5
android,10274,7d6218775ead13b4504fdb7c1516374f,3,4,4,mei_final,0.75,0.5
android,10274,e305be634bff315e71bd7dd71448553c,3,4,4,mei_final,0.75,0.5
android,10274,08e4bc80c2df76715efd834f62c91c85,4,4,4,unique_final,1.0,0.25
android,10283,78ff2e91b4970a986b9f4d1a71ba7be0,8,14,14,mei_final,0.5714,0.5
android,10283,afe258e95bf5f996e9f4d7b29bb4eb2b,13,14,14,mei_final,0.9286,0.1429
android,10283,06e163299899be4a03dc57200d3fac31,13,14,14,mei_final,0.9286,0.1429
android,10283,afe258e95bf5f996e9f4d7b29bb4eb2b,13,14,14,mei_final,0.9286,0.1429
android,10283,d0e6290601204e701dc56bedeaeee124,13,14,14,mei_final,0.9286,0.1429
android,10283,aa755fb304ab68255da1a3dba1830fb5,13,14,14,mei_final,0.9286,0.1429
android,10283,06e163299899be4a03dc57200d3fac31,13,14,14,mei_final,0.9286,0.1429
android,10283,524ccaa3ef74e4017db806107e0c288a,13,14,14,mei_final,0.9286,0.1429
android,10283,b3368f066e1a3a629360a20b1bc54925,13,14,14,mei_final,0.9286,0.1429
android,10283,d0e6290601204e701dc56bedeaeee124,13,14,14,mei_final,0.9286,0.1429
android,10283,48ebda3048167f0d939ba17ddf185ed8,13,14,14,mei_final,0.9286,0.1429
android,10283,aa755fb304ab68255da1a3dba1830fb5,13,14,14,mei_final,0.9286,0.1429
android,10283,524ccaa3ef74e4017db806107e0c288a,13,14,14,mei_final,0.9286,0.1429
android,10283,b3368f066e1a3a629360a20b1bc54925,13,14,14,mei_final,0.9286,0.1429
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10292,c499c29ff5d6c1e99ca4b45252248157,2,3,3,mei_final,0.6667,0.6667
android,10300,bc2db8d9b05a65ac4f34aead6e0e41f7,5,5,11,unique_mei,0.4545,0.0909
android,10300,bc2db8d9b05a65ac4f34aead6e0e41f7,5,5,11,unique_mei,0.4545,0.0909
android,10300,bc2db8d9b05a65ac4f34aead6e0e41f7,6,11,11,mei_final,0.5455,0.5455
android,10300,bc2db8d9b05a65ac4f34aead6e0e41f7,6,11,11,mei_final,0.5455,0.5455
android,10320,11126f793239f7cbf3323ac0110c90d5,1,1,1,ini_mei_final,0.0,1.0
android,10320,11126f793239f7cbf3323ac0110c90d5,1,1,1,ini_mei_final,0.0,1.0
android,10320,11126f793239f7cbf3323ac0110c90d5,1,1,1,ini_mei_final,0.0,1.0
