project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
azure-functions-core-tools,4480,320dc4176fd2f2ed7096104ff6f43c4b,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,26d535601010376ee2d075315726dbeb,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,ad619ddd25f34a978ba767a5a96ad4a8,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,d0c63e07f6d26d65fb02c767cf988001,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,ad619ddd25f34a978ba767a5a96ad4a8,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,bf8bee8df413cbfb13b49ce5d61eaa9e,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,0dcc84201e9bf35bc007403aa941bf80,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,a3512b53ec780fb66570e2b24dc98dea,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,fd04a39e168d433dabe7f9dfbc097c1f,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,bf8bee8df413cbfb13b49ce5d61eaa9e,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,a3512b53ec780fb66570e2b24dc98dea,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,1203e3e18d418db483b6ab77d18d7b19,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,0459f16b3106730ff703ec012622633f,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,fce181d9dd625f684e0857e1a9e4d679,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,c53f34edf71a5d4dfc4e845d6dbce73f,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,cdfbd09fadb8d278c60307a96f8e2ec8,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,e7a507a64af128533f5941d5e7e06640,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,1203e3e18d418db483b6ab77d18d7b19,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,34a2f3120b8e9403411ab79f5075edbd,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,a8476833aee5279f1eaca4653319199e,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,0459f16b3106730ff703ec012622633f,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,a4bce68c396dfa65354c6da96b51dfbc,1,1,6,unique_ini,0.0,0.1667
azure-functions-core-tools,4480,b1454ddf0682d8198d6d98618db0b566,1,1,6,unique_ini,0.0,0.1667
