project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
perfview,2203,bf7144c2b5490609250e15afaf4fc52b,1,1,1,ini_mei_final,0.0,1.0
perfview,2203,acb84c39d745fabff182e6e75d24bf4f,1,1,1,ini_mei_final,0.0,1.0
perfview,2203,b9742b46e136ec28af6b9d082e111f84,1,1,1,ini_mei_final,0.0,1.0
perfview,2203,138c7d3f2017ca6e70bf5aa87a224c7d,1,1,1,ini_mei_final,0.0,1.0
perfview,2203,33910a4fefb97ff063ea1362401a4a9e,1,1,1,ini_mei_final,0.0,1.0
perfview,2203,4f32ad2130ca5879190702e6ffd89ce8,1,1,1,ini_mei_final,0.0,1.0
perfview,2203,420cbb705a2dea46d3356fe5346804f3,1,1,1,ini_mei_final,0.0,1.0
perfview,2203,1dd656b3861af0f13eeec619fd44af75,1,1,1,ini_mei_final,0.0,1.0
perfview,2208,cff3d63b36182c566d47325fe8493bd3,1,2,8,ini_mei,0.0,0.25
perfview,2208,d527830167d4d684783ca2365c8f6fb5,1,2,8,ini_mei,0.0,0.25
perfview,2208,81bb50066127357716cfb89700d97ee5,1,2,8,ini_mei,0.0,0.25
perfview,2208,5dc841e4e8e13e3a245e3a0cde30fec1,1,2,8,ini_mei,0.0,0.25
perfview,2208,cff3d63b36182c566d47325fe8493bd3,1,2,8,ini_mei,0.0,0.25
perfview,2208,d527830167d4d684783ca2365c8f6fb5,1,2,8,ini_mei,0.0,0.25
perfview,2208,982acd12077cb81a88fdcfb06fabc343,1,2,8,ini_mei,0.0,0.25
perfview,2208,5dc841e4e8e13e3a245e3a0cde30fec1,1,2,8,ini_mei,0.0,0.25
perfview,2208,9553e2951a9675283fd42e70191b5549,1,2,8,ini_mei,0.0,0.25
perfview,2208,9553e2951a9675283fd42e70191b5549,1,2,8,ini_mei,0.0,0.25
perfview,2208,982acd12077cb81a88fdcfb06fabc343,1,2,8,ini_mei,0.0,0.25
perfview,2208,81bb50066127357716cfb89700d97ee5,1,2,8,ini_mei,0.0,0.25
perfview,2208,982acd12077cb81a88fdcfb06fabc343,3,3,8,unique_mei,0.375,0.125
perfview,2208,9553e2951a9675283fd42e70191b5549,3,3,8,unique_mei,0.375,0.125
perfview,2208,cff3d63b36182c566d47325fe8493bd3,3,3,8,unique_mei,0.375,0.125
perfview,2208,9553e2951a9675283fd42e70191b5549,3,3,8,unique_mei,0.375,0.125
perfview,2208,cff3d63b36182c566d47325fe8493bd3,3,3,8,unique_mei,0.375,0.125
perfview,2208,81bb50066127357716cfb89700d97ee5,3,3,8,unique_mei,0.375,0.125
perfview,2208,5dc841e4e8e13e3a245e3a0cde30fec1,3,3,8,unique_mei,0.375,0.125
perfview,2208,982acd12077cb81a88fdcfb06fabc343,3,3,8,unique_mei,0.375,0.125
perfview,2208,81bb50066127357716cfb89700d97ee5,3,3,8,unique_mei,0.375,0.125
perfview,2208,d527830167d4d684783ca2365c8f6fb5,3,3,8,unique_mei,0.375,0.125
perfview,2208,5dc841e4e8e13e3a245e3a0cde30fec1,3,3,8,unique_mei,0.375,0.125
perfview,2208,d527830167d4d684783ca2365c8f6fb5,3,3,8,unique_mei,0.375,0.125
perfview,2208,d4f18b88d0c743c62aab14928217c4f2,2,4,8,mei,0.25,0.375
perfview,2208,cff3d63b36182c566d47325fe8493bd3,4,8,8,mei_final,0.5,0.625
perfview,2208,81bb50066127357716cfb89700d97ee5,4,8,8,mei_final,0.5,0.625
perfview,2208,cff3d63b36182c566d47325fe8493bd3,4,8,8,mei_final,0.5,0.625
perfview,2208,d527830167d4d684783ca2365c8f6fb5,4,8,8,mei_final,0.5,0.625
perfview,2208,81bb50066127357716cfb89700d97ee5,4,8,8,mei_final,0.5,0.625
perfview,2208,982acd12077cb81a88fdcfb06fabc343,4,8,8,mei_final,0.5,0.625
perfview,2208,5dc841e4e8e13e3a245e3a0cde30fec1,4,8,8,mei_final,0.5,0.625
perfview,2208,982acd12077cb81a88fdcfb06fabc343,4,8,8,mei_final,0.5,0.625
perfview,2208,9553e2951a9675283fd42e70191b5549,4,8,8,mei_final,0.5,0.625
perfview,2208,d527830167d4d684783ca2365c8f6fb5,4,8,8,mei_final,0.5,0.625
perfview,2208,9553e2951a9675283fd42e70191b5549,4,8,8,mei_final,0.5,0.625
perfview,2208,5dc841e4e8e13e3a245e3a0cde30fec1,4,8,8,mei_final,0.5,0.625
perfview,2208,d4f18b88d0c743c62aab14928217c4f2,5,8,8,mei_final,0.625,0.5
perfview,2211,9a4ce0bfe42c729d41ca26d5be6427a6,1,1,1,ini_mei_final,0.0,1.0
perfview,2211,1a4059550e60a86d81efce9645c5b4db,1,1,1,ini_mei_final,0.0,1.0
perfview,2211,9a4ce0bfe42c729d41ca26d5be6427a6,1,1,1,ini_mei_final,0.0,1.0
perfview,2211,9a4ce0bfe42c729d41ca26d5be6427a6,1,1,1,ini_mei_final,0.0,1.0
perfview,2211,1a4059550e60a86d81efce9645c5b4db,1,1,1,ini_mei_final,0.0,1.0
perfview,2211,1a4059550e60a86d81efce9645c5b4db,1,1,1,ini_mei_final,0.0,1.0
perfview,2212,888d19a4f20d16c21bf2979ab2488009,1,1,2,unique_ini,0.0,0.5
perfview,2212,8dd645e0a9d982c177afab927d356a3a,1,1,2,unique_ini,0.0,0.5
perfview,2212,fbcc22041a02e05fba36050b16970a01,1,1,2,unique_ini,0.0,0.5
perfview,2212,2f1f89165839836bb0db6e280ae4dc52,1,1,2,unique_ini,0.0,0.5
perfview,2212,2278116a8bde1fb1ddd122c4a302167b,1,1,2,unique_ini,0.0,0.5
perfview,2212,af906eb1df17e88b6d568cc7a6d19489,1,1,2,unique_ini,0.0,0.5
perfview,2212,af906eb1df17e88b6d568cc7a6d19489,1,1,2,unique_ini,0.0,0.5
perfview,2212,fbcc22041a02e05fba36050b16970a01,1,1,2,unique_ini,0.0,0.5
perfview,2212,8dd645e0a9d982c177afab927d356a3a,1,1,2,unique_ini,0.0,0.5
perfview,2212,2278116a8bde1fb1ddd122c4a302167b,1,1,2,unique_ini,0.0,0.5
perfview,2212,2278116a8bde1fb1ddd122c4a302167b,1,1,2,unique_ini,0.0,0.5
perfview,2212,b861426d8c191c97ef407883e53c9a03,1,1,2,unique_ini,0.0,0.5
perfview,2212,888d19a4f20d16c21bf2979ab2488009,1,1,2,unique_ini,0.0,0.5
perfview,2212,b861426d8c191c97ef407883e53c9a03,1,1,2,unique_ini,0.0,0.5
perfview,2212,b861426d8c191c97ef407883e53c9a03,2,2,2,unique_final,1.0,0.5
perfview,2212,fbcc22041a02e05fba36050b16970a01,2,2,2,unique_final,1.0,0.5
perfview,2212,888d19a4f20d16c21bf2979ab2488009,2,2,2,unique_final,1.0,0.5
perfview,2212,b861426d8c191c97ef407883e53c9a03,2,2,2,unique_final,1.0,0.5
perfview,2212,2278116a8bde1fb1ddd122c4a302167b,2,2,2,unique_final,1.0,0.5
perfview,2212,8dd645e0a9d982c177afab927d356a3a,2,2,2,unique_final,1.0,0.5
perfview,2212,2f1f89165839836bb0db6e280ae4dc52,2,2,2,unique_final,1.0,0.5
perfview,2212,2278116a8bde1fb1ddd122c4a302167b,2,2,2,unique_final,1.0,0.5
perfview,2212,2278116a8bde1fb1ddd122c4a302167b,2,2,2,unique_final,1.0,0.5
perfview,2212,af906eb1df17e88b6d568cc7a6d19489,2,2,2,unique_final,1.0,0.5
perfview,2212,af906eb1df17e88b6d568cc7a6d19489,2,2,2,unique_final,1.0,0.5
perfview,2212,888d19a4f20d16c21bf2979ab2488009,2,2,2,unique_final,1.0,0.5
perfview,2212,fbcc22041a02e05fba36050b16970a01,2,2,2,unique_final,1.0,0.5
perfview,2212,8dd645e0a9d982c177afab927d356a3a,2,2,2,unique_final,1.0,0.5
perfview,2216,2278116a8bde1fb1ddd122c4a302167b,1,1,8,unique_ini,0.0,0.125
perfview,2216,8dd645e0a9d982c177afab927d356a3a,1,1,8,unique_ini,0.0,0.125
perfview,2216,888d19a4f20d16c21bf2979ab2488009,1,1,8,unique_ini,0.0,0.125
perfview,2216,fbcc22041a02e05fba36050b16970a01,1,1,8,unique_ini,0.0,0.125
perfview,2216,fbcc22041a02e05fba36050b16970a01,2,8,8,mei_final,0.25,0.875
perfview,2216,888d19a4f20d16c21bf2979ab2488009,2,8,8,mei_final,0.25,0.875
perfview,2216,2278116a8bde1fb1ddd122c4a302167b,2,8,8,mei_final,0.25,0.875
perfview,2216,8dd645e0a9d982c177afab927d356a3a,2,8,8,mei_final,0.25,0.875
perfview,2222,6fbedbf5825ca7dbc62d12fe18acb6b0,1,1,5,unique_ini,0.0,0.2
perfview,2222,5d55b0efe1f9ae1a1490143e8f3faf82,1,1,5,unique_ini,0.0,0.2
perfview,2222,5d55b0efe1f9ae1a1490143e8f3faf82,2,2,5,unique_mei,0.4,0.2
perfview,2222,6fbedbf5825ca7dbc62d12fe18acb6b0,2,2,5,unique_mei,0.4,0.2
perfview,2222,6fbedbf5825ca7dbc62d12fe18acb6b0,3,3,5,unique_mei,0.6,0.2
perfview,2222,5d55b0efe1f9ae1a1490143e8f3faf82,3,3,5,unique_mei,0.6,0.2
perfview,2222,5d55b0efe1f9ae1a1490143e8f3faf82,4,5,5,mei_final,0.8,0.4
perfview,2222,6fbedbf5825ca7dbc62d12fe18acb6b0,4,5,5,mei_final,0.8,0.4
