project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
AndroidTVMovieParadise,8,e2313ddb0a27d23cdb12d8c3fa608654,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,8,8a864a58b470cd52c76e35f37f036bea,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,8,e2313ddb0a27d23cdb12d8c3fa608654,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,8,c68b0b04ea097cb3fe78c626d93fe8b4,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,8,8a864a58b470cd52c76e35f37f036bea,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,8,c68b0b04ea097cb3fe78c626d93fe8b4,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,13,8a864a58b470cd52c76e35f37f036bea,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,13,e2313ddb0a27d23cdb12d8c3fa608654,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,15,8a864a58b470cd52c76e35f37f036bea,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,16,8a864a58b470cd52c76e35f37f036bea,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,19,8a864a58b470cd52c76e35f37f036bea,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,23,79767cbf631ca356216dc64a5d70d2f8,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,23,e5a5e664545b22e9df65fe38bbfda94b,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,23,e5a5e664545b22e9df65fe38bbfda94b,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,23,79767cbf631ca356216dc64a5d70d2f8,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,24,e5a5e664545b22e9df65fe38bbfda94b,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,24,d364e80cab0954da98cd43f6a9d19478,1,1,1,ini_mei_final,0.0,1.0
AndroidTVMovieParadise,24,d364e80cab0954da98cd43f6a9d19478,1,1,1,ini_mei_final,0.0,1.0
