project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Chronicle-Bytes,656,2e31919d4a3e4efbb409977a38630da3,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,656,2e31919d4a3e4efbb409977a38630da3,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,656,9bf1d0afabc1788c1d41bf55be05e949,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,656,9bf1d0afabc1788c1d41bf55be05e949,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,b9380b216bb627a8005f096d055763c1,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,a7cb115ddc100c57b440b80366282c9d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,b3e22637f3d3089a9870fb7284089c35,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,b319c21d4beb468cb667d41e7cb3271d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,30d60851a93a86bf8e85fefef8ed17fd,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,2e31919d4a3e4efbb409977a38630da3,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,9bf1d0afabc1788c1d41bf55be05e949,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,2e31919d4a3e4efbb409977a38630da3,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,f93cd5189323793118e3522f4faa6f84,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,b319c21d4beb468cb667d41e7cb3271d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,e85c357634c00fe65de6b3f4a2bfe517,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,30d60851a93a86bf8e85fefef8ed17fd,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,62c2a4487202ff9b28bb0caa0d25d794,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,9bf1d0afabc1788c1d41bf55be05e949,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,e85c357634c00fe65de6b3f4a2bfe517,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,62c2a4487202ff9b28bb0caa0d25d794,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,ba7e6fb5b71bac38c94bcf15175c95d6,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,fd1a656056f147c1aa35bce1177912a6,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,a7cb115ddc100c57b440b80366282c9d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Bytes,657,b9380b216bb627a8005f096d055763c1,1,1,1,ini_mei_final,0.0,1.0
