project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Chronicle-Logger,145,965484c0aa226de79937533e04c2da2a,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,146,965484c0aa226de79937533e04c2da2a,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,147,b508d85701048f943e43d106b9da4757,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,147,dfcc7e92967928e33b51595de454ae93,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,7e18e04ab1a415ba051c45a16f8a2d4a,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,4874ebcce825769db5b08ec3161fe2e4,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,7621646cbbaf8c5fbdc6ab6aa59ee5b7,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,233fcf18191446790a69aba07a5a4328,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,db347db7d4f3ecafd8d34023709bf1c0,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,7e19f8a56960842e53d489a49e2c5e26,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,977859dec039cb180de4140364a652a9,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,5ef59134d9b087246e638f6d0be32747,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,dc33d4d0fba6a697ed0673bf7063d46c,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,148,de260dc1ab7c58568da81f826ea1fbb2,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,149,dfcc7e92967928e33b51595de454ae93,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,149,b508d85701048f943e43d106b9da4757,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,4874ebcce825769db5b08ec3161fe2e4,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,7e18e04ab1a415ba051c45a16f8a2d4a,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,db347db7d4f3ecafd8d34023709bf1c0,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,dc33d4d0fba6a697ed0673bf7063d46c,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,7e19f8a56960842e53d489a49e2c5e26,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,7621646cbbaf8c5fbdc6ab6aa59ee5b7,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,233fcf18191446790a69aba07a5a4328,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,5ef59134d9b087246e638f6d0be32747,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,977859dec039cb180de4140364a652a9,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,150,de260dc1ab7c58568da81f826ea1fbb2,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,160,b516d6fb6fc6afd514e8a699a31d0490,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,160,f5c5ca89e4b8afac4dee75caf462f696,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,162,7a9bfafe6a32cb859b50d86e8c660962,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,163,f5c5ca89e4b8afac4dee75caf462f696,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,163,b516d6fb6fc6afd514e8a699a31d0490,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,163,7a9bfafe6a32cb859b50d86e8c660962,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,181,052bda4394d74893ddd0bcacd88b21bb,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,181,048642ad80e279987b68ee83fecd87fb,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,182,19d310d984fb6030dc666996039ec09d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,182,fa84b3f7a3d1abb8d995c2ca20794e5f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,182,10bcc1761b272e39a42a1d319089b0c1,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,182,ef7150f0e3e2fccf1c611e5e5e02c3bc,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,182,3a5bec0129f9405607521e751c9a2257,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,183,f706f71779b3aea1e6e8397fa0ca38ed,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,183,3040bac582b24eca9d8f1f7c5be12512,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,183,7ca5c8874053d2618d4956ff358e43e4,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,183,1388db3f4cf5c90743cab44403ff173b,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,183,19857c0cbfef30e79bf1a07d9cf09b79,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,185,048642ad80e279987b68ee83fecd87fb,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,185,052bda4394d74893ddd0bcacd88b21bb,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,186,fa84b3f7a3d1abb8d995c2ca20794e5f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,186,19d310d984fb6030dc666996039ec09d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,186,ef7150f0e3e2fccf1c611e5e5e02c3bc,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,186,3a5bec0129f9405607521e751c9a2257,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,186,10bcc1761b272e39a42a1d319089b0c1,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,187,19857c0cbfef30e79bf1a07d9cf09b79,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,187,3040bac582b24eca9d8f1f7c5be12512,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,187,f706f71779b3aea1e6e8397fa0ca38ed,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,187,1388db3f4cf5c90743cab44403ff173b,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,187,7ca5c8874053d2618d4956ff358e43e4,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,191,0e9c997d6c08e2b610d215273541cd3d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,192,0e9c997d6c08e2b610d215273541cd3d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,193,1b97d1767de3f899acfa377ecc33f081,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,193,5a7c3ebc75189726ecbd983bb08461af,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Logger,193,93240913b152774079f9fac4b7012df1,1,1,1,ini_mei_final,0.0,1.0
