project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Chronicle-Values,69,c7fa1518464cf69090c452821208dc4c,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,69,bd269f1aebc4602ee9a7eae284163916,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,69,bd269f1aebc4602ee9a7eae284163916,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,69,c7fa1518464cf69090c452821208dc4c,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,70,11705a4dc06d71650ce14bc108502c81,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,70,11705a4dc06d71650ce14bc108502c81,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,70,62cbc69060089e73ef72e33f22accc78,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,70,62cbc69060089e73ef72e33f22accc78,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,83,b2711af44303056b9bd08060b2631fe8,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,83,b2711af44303056b9bd08060b2631fe8,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,84,d46813871ac9d80b7b2f60ae441774e2,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,99,852a50c0fdcd3518d002f8cad6531141,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,99,d003be5e3aa36ad66631a8d81201e331,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,99,d003be5e3aa36ad66631a8d81201e331,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,99,d46813871ac9d80b7b2f60ae441774e2,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,99,852a50c0fdcd3518d002f8cad6531141,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,109,1f955e333cc2e485238dcf8fe9697e86,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,109,1f955e333cc2e485238dcf8fe9697e86,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,139,62cbc69060089e73ef72e33f22accc78,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,139,11705a4dc06d71650ce14bc108502c81,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,139,11705a4dc06d71650ce14bc108502c81,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,139,62cbc69060089e73ef72e33f22accc78,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,147,d46813871ac9d80b7b2f60ae441774e2,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,147,852a50c0fdcd3518d002f8cad6531141,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,147,d003be5e3aa36ad66631a8d81201e331,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,147,d003be5e3aa36ad66631a8d81201e331,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,147,852a50c0fdcd3518d002f8cad6531141,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,150,c7fa1518464cf69090c452821208dc4c,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,150,bd269f1aebc4602ee9a7eae284163916,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,150,c7fa1518464cf69090c452821208dc4c,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,150,bd269f1aebc4602ee9a7eae284163916,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,156,62cbc69060089e73ef72e33f22accc78,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,c7fa1518464cf69090c452821208dc4c,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,c7fa1518464cf69090c452821208dc4c,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,b2711af44303056b9bd08060b2631fe8,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,bd269f1aebc4602ee9a7eae284163916,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,d46813871ac9d80b7b2f60ae441774e2,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,852a50c0fdcd3518d002f8cad6531141,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,11705a4dc06d71650ce14bc108502c81,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,1f955e333cc2e485238dcf8fe9697e86,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,1f955e333cc2e485238dcf8fe9697e86,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,11705a4dc06d71650ce14bc108502c81,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,d003be5e3aa36ad66631a8d81201e331,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,bd269f1aebc4602ee9a7eae284163916,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,62cbc69060089e73ef72e33f22accc78,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,d003be5e3aa36ad66631a8d81201e331,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,852a50c0fdcd3518d002f8cad6531141,2,2,2,unique_final,1.0,0.5
Chronicle-Values,156,b2711af44303056b9bd08060b2631fe8,2,2,2,unique_final,1.0,0.5
Chronicle-Values,157,b2711af44303056b9bd08060b2631fe8,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,157,b2711af44303056b9bd08060b2631fe8,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Values,159,bd269f1aebc4602ee9a7eae284163916,1,1,2,unique_ini,0.0,0.5
Chronicle-Values,159,c7fa1518464cf69090c452821208dc4c,1,1,2,unique_ini,0.0,0.5
Chronicle-Values,159,bd269f1aebc4602ee9a7eae284163916,1,1,2,unique_ini,0.0,0.5
Chronicle-Values,159,c7fa1518464cf69090c452821208dc4c,1,1,2,unique_ini,0.0,0.5
Chronicle-Values,159,62cbc69060089e73ef72e33f22accc78,2,2,2,unique_final,1.0,0.5
Chronicle-Values,159,bd269f1aebc4602ee9a7eae284163916,2,2,2,unique_final,1.0,0.5
