project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Chronicle-Wire,1016,121574640c196d2c242e2d153a218281,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1016,121574640c196d2c242e2d153a218281,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1016,121574640c196d2c242e2d153a218281,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1016,121574640c196d2c242e2d153a218281,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1025,6877d9c2940bbefb8e5f69228f50478f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1025,78da118b48e8eb91a443e62272e83232,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1027,6877d9c2940bbefb8e5f69228f50478f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1027,78da118b48e8eb91a443e62272e83232,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1049,ad7fa81668209d353eee891f8cd2295d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1049,ad7fa81668209d353eee891f8cd2295d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1061,37b5cf03550add4e8dcdddb688ea7702,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1061,37b5cf03550add4e8dcdddb688ea7702,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1061,37b5cf03550add4e8dcdddb688ea7702,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1062,065712e43fe7de6ed85cbfced62633d8,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1062,065712e43fe7de6ed85cbfced62633d8,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1065,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1065,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1065,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1065,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1069,f8ff671786e1b3d05f99467936f8fd47,1,2,2,ini_mei_final,0.0,1.0
Chronicle-Wire,1069,f8ff671786e1b3d05f99467936f8fd47,1,2,2,ini_mei_final,0.0,1.0
Chronicle-Wire,1069,f8ff671786e1b3d05f99467936f8fd47,1,2,2,ini_mei_final,0.0,1.0
Chronicle-Wire,1069,f8ff671786e1b3d05f99467936f8fd47,1,2,2,ini_mei_final,0.0,1.0
Chronicle-Wire,1070,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1070,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1070,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1070,f8ff671786e1b3d05f99467936f8fd47,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1072,0fb67cdf2a4de3ad0c23175c3f73e36d,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1106,4a1285dce90ebdebfe09b8843bdd339e,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1107,846a053721c5de627d190da3224291f2,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1107,846a053721c5de627d190da3224291f2,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1107,4a1285dce90ebdebfe09b8843bdd339e,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1114,08f475c9d03e7dc6ec12b5a56fc444c5,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1114,fc8685b1a198a339c3825afb203630e9,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1115,08f475c9d03e7dc6ec12b5a56fc444c5,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1115,fc8685b1a198a339c3825afb203630e9,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1116,2b9a4b91e5a8af045e29f686ab1bfa8f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1117,2b9a4b91e5a8af045e29f686ab1bfa8f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1133,02c8debe1f8bc59003a84dd30bcc080f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1133,02c8debe1f8bc59003a84dd30bcc080f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1137,02c8debe1f8bc59003a84dd30bcc080f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1151,a786ae2fc784e687e56aebba76ba6ac1,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1151,a786ae2fc784e687e56aebba76ba6ac1,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,453f02a2d1db36949ef1d32dd4d29bdb,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,dccb1f5db40c1880c5902fa89d201c0f,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,2375ba828ffb2586f5857d0296b0ec92,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,06025cd8b5f06860e9c56879af478833,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,5498f3d8e078b7eab2d7087a084d3471,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,fdbd915365c025e12952eee4cb128815,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,e11070d5e736363841dd94853742c897,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,1d4b5a42f967d96a0d18850a3b143a15,1,1,1,ini_mei_final,0.0,1.0
Chronicle-Wire,1167,bc0402584c69d229253d00704e07b18d,1,1,1,ini_mei_final,0.0,1.0
