project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
DNAnalyzer,502,7c6a1801bf5257aec4ca5045d39b6fe0,1,2,2,ini_mei_final,0.0,1.0
DNAnalyzer,502,7c6a1801bf5257aec4ca5045d39b6fe0,1,2,2,ini_mei_final,0.0,1.0
DNAnalyzer,503,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,503,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,506,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,506,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,509,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,509,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,511,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,511,7c6a1801bf5257aec4ca5045d39b6fe0,2,2,2,unique_final,1.0,0.5
DNAnalyzer,513,7c6a1801bf5257aec4ca5045d39b6fe0,2,3,3,mei_final,0.6667,0.6667
DNAnalyzer,513,7c6a1801bf5257aec4ca5045d39b6fe0,2,3,3,mei_final,0.6667,0.6667
DNAnalyzer,519,7c6a1801bf5257aec4ca5045d39b6fe0,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,519,7c6a1801bf5257aec4ca5045d39b6fe0,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,520,7c6a1801bf5257aec4ca5045d39b6fe0,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,520,7c6a1801bf5257aec4ca5045d39b6fe0,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,521,7c6a1801bf5257aec4ca5045d39b6fe0,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,521,7c6a1801bf5257aec4ca5045d39b6fe0,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,529,a5df30a29abf24ad8b3880f9bfe4e305,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,529,87d63d3205ac296ea9376c2a3337e98a,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,529,87f93d43ef5f5f4593b56341a7925e98,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,529,53ac907c2dd1d3a7b0d40d0f486f6b37,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,529,ca7883c4168c4d7b2383b88642368d17,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,529,87d63d3205ac296ea9376c2a3337e98a,3,3,3,unique_final,1.0,0.3333
DNAnalyzer,530,a5df30a29abf24ad8b3880f9bfe4e305,1,1,1,ini_mei_final,0.0,1.0
DNAnalyzer,530,87d63d3205ac296ea9376c2a3337e98a,1,1,1,ini_mei_final,0.0,1.0
DNAnalyzer,530,87f93d43ef5f5f4593b56341a7925e98,1,1,1,ini_mei_final,0.0,1.0
DNAnalyzer,530,53ac907c2dd1d3a7b0d40d0f486f6b37,1,1,1,ini_mei_final,0.0,1.0
DNAnalyzer,530,ca7883c4168c4d7b2383b88642368d17,1,1,1,ini_mei_final,0.0,1.0
DNAnalyzer,530,87d63d3205ac296ea9376c2a3337e98a,1,1,1,ini_mei_final,0.0,1.0
DNAnalyzer,536,fe5239a48bd303de448827ef8b84732b,1,1,3,unique_ini,0.0,0.3333
DNAnalyzer,536,cc3c7d17721e4db03aa17eee164c47fa,1,1,3,unique_ini,0.0,0.3333
DNAnalyzer,536,cc3c7d17721e4db03aa17eee164c47fa,1,1,3,unique_ini,0.0,0.3333
DNAnalyzer,536,fe5239a48bd303de448827ef8b84732b,1,1,3,unique_ini,0.0,0.3333
DNAnalyzer,536,fe5239a48bd303de448827ef8b84732b,2,3,3,mei_final,0.6667,0.6667
DNAnalyzer,536,cc3c7d17721e4db03aa17eee164c47fa,2,3,3,mei_final,0.6667,0.6667
DNAnalyzer,536,cc3c7d17721e4db03aa17eee164c47fa,2,3,3,mei_final,0.6667,0.6667
DNAnalyzer,536,fe5239a48bd303de448827ef8b84732b,2,3,3,mei_final,0.6667,0.6667
