project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Harmonic-HN,215,4f7f7124273dc6b18f97021135a90013,1,1,1,ini_mei_final,0.0,1.0
Harmonic-HN,215,4f7f7124273dc6b18f97021135a90013,1,1,1,ini_mei_final,0.0,1.0
Harmonic-HN,216,d88e71ec8e6bcec86c5a0f2130686e98,1,1,2,unique_ini,0.0,0.5
Harmonic-HN,216,d88e71ec8e6bcec86c5a0f2130686e98,1,1,2,unique_ini,0.0,0.5
Harmonic-HN,216,2137baf9d38165dee870397d72771f55,2,2,2,unique_final,1.0,0.5
Harmonic-HN,216,d88e71ec8e6bcec86c5a0f2130686e98,2,2,2,unique_final,1.0,0.5
Harmonic-HN,216,2137baf9d38165dee870397d72771f55,2,2,2,unique_final,1.0,0.5
Harmonic-HN,216,d88e71ec8e6bcec86c5a0f2130686e98,2,2,2,unique_final,1.0,0.5
Harmonic-HN,217,844540fa70e8d6a552ca38715c8274c6,3,4,4,mei_final,0.75,0.5
Harmonic-HN,217,b4fc1a4429e77230252ec43e32b89c2e,3,4,4,mei_final,0.75,0.5
Harmonic-HN,217,b4fc1a4429e77230252ec43e32b89c2e,3,4,4,mei_final,0.75,0.5
Harmonic-HN,217,844540fa70e8d6a552ca38715c8274c6,3,4,4,mei_final,0.75,0.5
Harmonic-HN,218,844540fa70e8d6a552ca38715c8274c6,1,1,1,ini_mei_final,0.0,1.0
Harmonic-HN,218,b4fc1a4429e77230252ec43e32b89c2e,1,1,1,ini_mei_final,0.0,1.0
Harmonic-HN,218,b4fc1a4429e77230252ec43e32b89c2e,1,1,1,ini_mei_final,0.0,1.0
Harmonic-HN,218,844540fa70e8d6a552ca38715c8274c6,1,1,1,ini_mei_final,0.0,1.0
Harmonic-HN,220,d88e71ec8e6bcec86c5a0f2130686e98,1,2,8,ini_mei,0.0,0.25
Harmonic-HN,220,d88e71ec8e6bcec86c5a0f2130686e98,1,2,8,ini_mei,0.0,0.25
Harmonic-HN,220,d88e71ec8e6bcec86c5a0f2130686e98,3,7,8,mei,0.375,0.625
Harmonic-HN,220,d88e71ec8e6bcec86c5a0f2130686e98,3,7,8,mei,0.375,0.625
Harmonic-HN,220,c207cb37e2dc8817343ee03c84bacf53,1,8,8,ini_mei_final,0.0,1.0
Harmonic-HN,220,d88e71ec8e6bcec86c5a0f2130686e98,8,8,8,unique_final,1.0,0.125
Harmonic-HN,220,d88e71ec8e6bcec86c5a0f2130686e98,8,8,8,unique_final,1.0,0.125
