project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
WxJava,3646,51b2046c6fc008bda6b537f665ec512a,2,2,3,unique_mei,0.6667,0.3333
WxJava,3646,51b2046c6fc008bda6b537f665ec512a,2,2,3,unique_mei,0.6667,0.3333
WxJava,3646,51b2046c6fc008bda6b537f665ec512a,2,2,3,unique_mei,0.6667,0.3333
WxJava,3655,e46485cae11a0f34f76ccd6911ddb7e7,2,3,3,mei_final,0.6667,0.6667
WxJava,3655,4e6ddf6c5d8387af44d34f839bc7c873,2,3,3,mei_final,0.6667,0.6667
WxJava,3655,4e6ddf6c5d8387af44d34f839bc7c873,2,3,3,mei_final,0.6667,0.6667
WxJava,3655,4c4acc6843ae9c6f991609f5da888352,2,3,3,mei_final,0.6667,0.6667
WxJava,3655,4c4acc6843ae9c6f991609f5da888352,2,3,3,mei_final,0.6667,0.6667
WxJava,3655,cacbe1489fd793d38cefeb3a62575d42,2,3,3,mei_final,0.6667,0.6667
WxJava,3655,e46485cae11a0f34f76ccd6911ddb7e7,2,3,3,mei_final,0.6667,0.6667
WxJava,3655,cacbe1489fd793d38cefeb3a62575d42,2,3,3,mei_final,0.6667,0.6667
WxJava,3658,b43ba034a8e9081eabbc485d30363f52,1,1,1,ini_mei_final,0.0,1.0
WxJava,3658,b43ba034a8e9081eabbc485d30363f52,1,1,1,ini_mei_final,0.0,1.0
