project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
camunda,34544,0ad19a9f0ee56f4cf03920b8d7b842e4,1,1,1,ini_mei_final,0.0,1.0
camunda,34544,0ad19a9f0ee56f4cf03920b8d7b842e4,1,1,1,ini_mei_final,0.0,1.0
camunda,34932,3e66c0c660885008657738bb69f58037,5,5,13,unique_mei,0.3846,0.0769
camunda,34932,3e66c0c660885008657738bb69f58037,5,5,13,unique_mei,0.3846,0.0769
camunda,34932,54a71629906f2c6a5eb6e3be3f449e01,5,5,13,unique_mei,0.3846,0.0769
camunda,34932,3e66c0c660885008657738bb69f58037,5,5,13,unique_mei,0.3846,0.0769
camunda,34932,54a71629906f2c6a5eb6e3be3f449e01,5,5,13,unique_mei,0.3846,0.0769
camunda,34932,3e66c0c660885008657738bb69f58037,5,5,13,unique_mei,0.3846,0.0769
camunda,34932,8b3ba23f72f941b53c72b7d860aba01a,9,13,13,mei_final,0.6923,0.3846
camunda,34932,8b3ba23f72f941b53c72b7d860aba01a,9,13,13,mei_final,0.6923,0.3846
camunda,35347,be82f276ac0d15f9d5dc686e6795eec7,1,2,7,ini_mei,0.0,0.2857
camunda,35347,0e51e32470166949af6bcbc931057d4f,1,2,7,ini_mei,0.0,0.2857
camunda,35347,0e51e32470166949af6bcbc931057d4f,1,2,7,ini_mei,0.0,0.2857
camunda,35347,be82f276ac0d15f9d5dc686e6795eec7,1,2,7,ini_mei,0.0,0.2857
camunda,35347,0e51e32470166949af6bcbc931057d4f,1,2,7,ini_mei,0.0,0.2857
camunda,35347,be82f276ac0d15f9d5dc686e6795eec7,3,6,7,mei,0.4286,0.5714
camunda,35347,be82f276ac0d15f9d5dc686e6795eec7,3,6,7,mei,0.4286,0.5714
camunda,35347,0e51e32470166949af6bcbc931057d4f,3,7,7,mei_final,0.4286,0.7143
camunda,35347,0e51e32470166949af6bcbc931057d4f,3,7,7,mei_final,0.4286,0.7143
camunda,35347,0e51e32470166949af6bcbc931057d4f,3,7,7,mei_final,0.4286,0.7143
camunda,35347,426a1711ee29f1d037037dd129963c55,7,7,7,unique_final,1.0,0.1429
camunda,35347,426a1711ee29f1d037037dd129963c55,7,7,7,unique_final,1.0,0.1429
camunda,35347,426a1711ee29f1d037037dd129963c55,7,7,7,unique_final,1.0,0.1429
camunda,35374,53682e982161fb61700e3a64e760b72b,6,8,13,mei,0.4615,0.2308
camunda,35374,53682e982161fb61700e3a64e760b72b,6,8,13,mei,0.4615,0.2308
camunda,35374,53682e982161fb61700e3a64e760b72b,9,10,13,mei,0.6923,0.1538
camunda,35374,53682e982161fb61700e3a64e760b72b,9,13,13,mei_final,0.6923,0.3846
camunda,35374,53682e982161fb61700e3a64e760b72b,11,13,13,mei_final,0.8462,0.2308
