project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
core,32561,7599f8fb1a4121ade68096b0f333d1f4,1,1,5,unique_ini,0.0,0.2
core,32561,2b3349609f7571b90193c07ce99ead8e,1,1,5,unique_ini,0.0,0.2
core,32561,b4187e74fbad208f66d0ed1fdcf5c394,1,1,5,unique_ini,0.0,0.2
core,32561,7599f8fb1a4121ade68096b0f333d1f4,1,1,5,unique_ini,0.0,0.2
core,32561,2b3349609f7571b90193c07ce99ead8e,1,1,5,unique_ini,0.0,0.2
core,32561,b4187e74fbad208f66d0ed1fdcf5c394,1,1,5,unique_ini,0.0,0.2
core,32561,9dbb2b5d4424cc5b29bd27f26b92fd48,1,1,5,unique_ini,0.0,0.2
core,32561,9dbb2b5d4424cc5b29bd27f26b92fd48,1,1,5,unique_ini,0.0,0.2
core,32561,7599f8fb1a4121ade68096b0f333d1f4,1,2,5,ini_mei,0.0,0.4
core,32561,7599f8fb1a4121ade68096b0f333d1f4,2,2,5,unique_mei,0.4,0.2
core,32561,2b3349609f7571b90193c07ce99ead8e,2,2,5,unique_mei,0.4,0.2
core,32561,7599f8fb1a4121ade68096b0f333d1f4,2,2,5,unique_mei,0.4,0.2
core,32561,2b3349609f7571b90193c07ce99ead8e,2,2,5,unique_mei,0.4,0.2
core,32561,d19ac2fd3df72e324f4a29a1127cd484,1,3,5,ini_mei,0.0,0.6
core,32561,d19ac2fd3df72e324f4a29a1127cd484,1,3,5,ini_mei,0.0,0.6
core,32561,9dbb2b5d4424cc5b29bd27f26b92fd48,1,3,5,ini_mei,0.0,0.6
core,32561,9dbb2b5d4424cc5b29bd27f26b92fd48,2,3,5,mei,0.4,0.4
core,32561,9dbb2b5d4424cc5b29bd27f26b92fd48,2,3,5,mei,0.4,0.4
core,32561,3c08f0ede8c94cec09f44699090b7428,3,3,5,unique_mei,0.6,0.2
core,32561,3c08f0ede8c94cec09f44699090b7428,3,3,5,unique_mei,0.6,0.2
core,32561,3c08f0ede8c94cec09f44699090b7428,3,3,5,unique_mei,0.6,0.2
