project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
json-io,309,1693e4c4ac000605fdc164707db6fa7d,1,1,1,ini_mei_final,0.0,1.0
json-io,309,1693e4c4ac000605fdc164707db6fa7d,1,1,1,ini_mei_final,0.0,1.0
json-io,311,36796b88cbca60fed0df58fd16af1b5a,1,1,1,ini_mei_final,0.0,1.0
json-io,311,36796b88cbca60fed0df58fd16af1b5a,1,1,1,ini_mei_final,0.0,1.0
json-io,311,e1e0ea9c175aa020da6e815f1ef31b5a,1,1,1,ini_mei_final,0.0,1.0
json-io,316,a35cfdacb01adcdeca88e658c6a2945a,1,1,1,ini_mei_final,0.0,1.0
json-io,316,a35cfdacb01adcdeca88e658c6a2945a,1,1,1,ini_mei_final,0.0,1.0
json-io,316,a35cfdacb01adcdeca88e658c6a2945a,1,1,1,ini_mei_final,0.0,1.0
json-io,317,660bf4038ecf0a23e5d03e688fdd36c9,1,1,1,ini_mei_final,0.0,1.0
json-io,317,660bf4038ecf0a23e5d03e688fdd36c9,1,1,1,ini_mei_final,0.0,1.0
json-io,317,660bf4038ecf0a23e5d03e688fdd36c9,1,1,1,ini_mei_final,0.0,1.0
json-io,321,14ac5cdb08f15b8c09928110e21b6afd,1,1,1,ini_mei_final,0.0,1.0
json-io,321,14ac5cdb08f15b8c09928110e21b6afd,1,1,1,ini_mei_final,0.0,1.0
json-io,322,14ac5cdb08f15b8c09928110e21b6afd,2,2,2,unique_final,1.0,0.5
json-io,322,14ac5cdb08f15b8c09928110e21b6afd,2,2,2,unique_final,1.0,0.5
json-io,323,14ac5cdb08f15b8c09928110e21b6afd,2,2,2,unique_final,1.0,0.5
json-io,323,14ac5cdb08f15b8c09928110e21b6afd,2,2,2,unique_final,1.0,0.5
json-io,326,e1b22a208530fc494e3c53db2f73fee5,1,1,2,unique_ini,0.0,0.5
json-io,326,e1b22a208530fc494e3c53db2f73fee5,1,1,2,unique_ini,0.0,0.5
json-io,326,9e4bb7bbf06c784d0f9e44697d207fde,1,2,2,ini_mei_final,0.0,1.0
json-io,326,9e4bb7bbf06c784d0f9e44697d207fde,1,2,2,ini_mei_final,0.0,1.0
json-io,326,97afeb4203a9a8636ca895b68c89b572,2,2,2,unique_final,1.0,0.5
json-io,326,97afeb4203a9a8636ca895b68c89b572,2,2,2,unique_final,1.0,0.5
json-io,378,e1e0ea9c175aa020da6e815f1ef31b5a,1,2,2,ini_mei_final,0.0,1.0
json-io,378,e1e0ea9c175aa020da6e815f1ef31b5a,1,2,2,ini_mei_final,0.0,1.0
json-io,379,e1e0ea9c175aa020da6e815f1ef31b5a,1,1,1,ini_mei_final,0.0,1.0
json-io,380,b59c993133fb59f56e3d06fd8cae14ca,1,1,1,ini_mei_final,0.0,1.0
json-io,380,b10a462aa4ae87f614097ba5f14c5b6a,1,1,1,ini_mei_final,0.0,1.0
json-io,380,b10a462aa4ae87f614097ba5f14c5b6a,1,1,1,ini_mei_final,0.0,1.0
json-io,380,b59c993133fb59f56e3d06fd8cae14ca,1,1,1,ini_mei_final,0.0,1.0
json-io,382,b10a462aa4ae87f614097ba5f14c5b6a,2,2,2,unique_final,1.0,0.5
json-io,382,b10a462aa4ae87f614097ba5f14c5b6a,2,2,2,unique_final,1.0,0.5
json-io,382,e1e0ea9c175aa020da6e815f1ef31b5a,2,2,2,unique_final,1.0,0.5
json-io,382,b59c993133fb59f56e3d06fd8cae14ca,2,2,2,unique_final,1.0,0.5
json-io,382,b59c993133fb59f56e3d06fd8cae14ca,2,2,2,unique_final,1.0,0.5
json-io,382,e1e0ea9c175aa020da6e815f1ef31b5a,2,2,2,unique_final,1.0,0.5
json-io,385,b10a462aa4ae87f614097ba5f14c5b6a,2,2,2,unique_final,1.0,0.5
json-io,385,b10a462aa4ae87f614097ba5f14c5b6a,2,2,2,unique_final,1.0,0.5
json-io,385,e1e0ea9c175aa020da6e815f1ef31b5a,2,2,2,unique_final,1.0,0.5
json-io,385,b59c993133fb59f56e3d06fd8cae14ca,2,2,2,unique_final,1.0,0.5
json-io,385,b59c993133fb59f56e3d06fd8cae14ca,2,2,2,unique_final,1.0,0.5
json-io,385,e1e0ea9c175aa020da6e815f1ef31b5a,2,2,2,unique_final,1.0,0.5
json-io,403,1693e4c4ac000605fdc164707db6fa7d,1,1,1,ini_mei_final,0.0,1.0
json-io,413,e1e0ea9c175aa020da6e815f1ef31b5a,1,1,1,ini_mei_final,0.0,1.0
