project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
operaton,891,e3a3a71e77cf0b70e4a75f37ce6bb8a0,1,1,1,ini_mei_final,0.0,1.0
operaton,891,8c61e4a8daf327f13554f004d299297d,1,1,1,ini_mei_final,0.0,1.0
operaton,891,cd14f1b98c6f16fb10618d76ec3dd11e,1,1,1,ini_mei_final,0.0,1.0
operaton,891,b4316e89201d18a86cf6cf15d382d40b,1,1,1,ini_mei_final,0.0,1.0
operaton,891,cd14f1b98c6f16fb10618d76ec3dd11e,1,1,1,ini_mei_final,0.0,1.0
operaton,891,b4316e89201d18a86cf6cf15d382d40b,1,1,1,ini_mei_final,0.0,1.0
operaton,891,c6511e0cf7e3fe6df355ddcd156c160c,1,1,1,ini_mei_final,0.0,1.0
operaton,891,6d8fba0e281b1a794f8e0faa7e961a98,1,1,1,ini_mei_final,0.0,1.0
operaton,891,b707d0555637c3526b004056de53d4e4,1,1,1,ini_mei_final,0.0,1.0
operaton,891,040495196845a15c99e2e37279798271,1,1,1,ini_mei_final,0.0,1.0
operaton,891,b4316e89201d18a86cf6cf15d382d40b,1,1,1,ini_mei_final,0.0,1.0
operaton,891,6d8fba0e281b1a794f8e0faa7e961a98,1,1,1,ini_mei_final,0.0,1.0
operaton,891,e7c0beeff523d07eadfbd4cdefc90e6f,1,1,1,ini_mei_final,0.0,1.0
operaton,891,4dda6f8436c7e38c32c7e2df439962fe,1,1,1,ini_mei_final,0.0,1.0
operaton,891,6d8fba0e281b1a794f8e0faa7e961a98,1,1,1,ini_mei_final,0.0,1.0
operaton,891,6d8fba0e281b1a794f8e0faa7e961a98,1,1,1,ini_mei_final,0.0,1.0
operaton,891,b707d0555637c3526b004056de53d4e4,1,1,1,ini_mei_final,0.0,1.0
operaton,891,29bd343416412364df7767061ce3eee2,1,1,1,ini_mei_final,0.0,1.0
operaton,891,29bd343416412364df7767061ce3eee2,1,1,1,ini_mei_final,0.0,1.0
operaton,891,15add557effdec439f8bb89a4e454e00,1,1,1,ini_mei_final,0.0,1.0
operaton,891,6d8fba0e281b1a794f8e0faa7e961a98,1,1,1,ini_mei_final,0.0,1.0
operaton,891,d8ca5df50d83f66c014a2adcb263c1db,1,1,1,ini_mei_final,0.0,1.0
operaton,891,9f286ef82d4cc013dc52fd6461366d95,1,1,1,ini_mei_final,0.0,1.0
operaton,891,e7c0beeff523d07eadfbd4cdefc90e6f,1,1,1,ini_mei_final,0.0,1.0
operaton,891,15add557effdec439f8bb89a4e454e00,1,1,1,ini_mei_final,0.0,1.0
