project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,1,1,2,unique_ini,0.0,0.5
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,60b89c35b9faae14bc30e514520b3a08,1,2,2,ini_mei_final,0.0,1.0
pulsar,24542,2ebff046ce777f11f7f0b86ecde7d415,2,2,2,unique_final,1.0,0.5
