project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
typespec,7439,26e232a051fe59a0ababda0258370a43,24,24,24,unique_final,1.0,0.0417
typespec,7439,a4e3549c7d7adf3ccf5f292b13679092,24,24,24,unique_final,1.0,0.0417
typespec,7439,62a98b013e539e24694d1f6aeb9ae2c8,24,24,24,unique_final,1.0,0.0417
typespec,7439,53eb737bf67997600a80b2195c9d47bb,24,24,24,unique_final,1.0,0.0417
typespec,7458,66ded3c3ad5bb1ec21a18c84820ff3ff,4,4,4,unique_final,1.0,0.25
typespec,7458,cc58e746e31077322159443e17edd6ad,4,4,4,unique_final,1.0,0.25
typespec,7458,b4ff20ec614060a9a37164571c7e48bb,4,4,4,unique_final,1.0,0.25
typespec,7458,b4ff20ec614060a9a37164571c7e48bb,4,4,4,unique_final,1.0,0.25
typespec,7458,24ea1d200d1b4b8c1b27b79869664100,4,4,4,unique_final,1.0,0.25
typespec,7458,cc58e746e31077322159443e17edd6ad,4,4,4,unique_final,1.0,0.25
typespec,7458,cd99c87188e8244a109ff66590d4f294,4,4,4,unique_final,1.0,0.25
typespec,7458,cd99c87188e8244a109ff66590d4f294,4,4,4,unique_final,1.0,0.25
typespec,7602,3b49399d4115b6fe001760a49a70b588,8,18,18,mei_final,0.4444,0.6111
typespec,7602,90d66d907479b7dfc5f5191e374ed763,8,18,18,mei_final,0.4444,0.6111
typespec,7602,cc58e746e31077322159443e17edd6ad,8,18,18,mei_final,0.4444,0.6111
typespec,7602,edbd10d0bdb37bf3a00849c409f83b46,8,18,18,mei_final,0.4444,0.6111
typespec,7602,c34e747a6ca28267ac1645bfd09e8063,8,18,18,mei_final,0.4444,0.6111
typespec,7602,f6db0e2331a57e247edcb19790b9c34c,8,18,18,mei_final,0.4444,0.6111
typespec,7602,48e0147e67a828ebd63d317aa6b2e2d7,8,18,18,mei_final,0.4444,0.6111
typespec,7602,5be6049d7ffd6dfe651254edce2738ef,8,18,18,mei_final,0.4444,0.6111
typespec,7602,a54b57a5411cd937818f9256f2dc3523,8,18,18,mei_final,0.4444,0.6111
typespec,7602,5b878e596fbea1261c260318eab22202,8,18,18,mei_final,0.4444,0.6111
typespec,7602,75bc09161f7c7c6a86bb0cd6b9271136,8,18,18,mei_final,0.4444,0.6111
typespec,7602,3b49399d4115b6fe001760a49a70b588,8,18,18,mei_final,0.4444,0.6111
typespec,7602,000f1127b82b63d199ded2af6752fab6,8,18,18,mei_final,0.4444,0.6111
typespec,7602,3167ede29efda562efb0f876aa267e02,8,18,18,mei_final,0.4444,0.6111
typespec,7602,48e0147e67a828ebd63d317aa6b2e2d7,8,18,18,mei_final,0.4444,0.6111
typespec,7602,79c70b5649efcaa309d0b52cf5b5a946,8,18,18,mei_final,0.4444,0.6111
typespec,7602,c9fd5e1f62eacac51b315b8b62974ccd,8,18,18,mei_final,0.4444,0.6111
typespec,7602,31ff469030429d5252da48402ad91371,8,18,18,mei_final,0.4444,0.6111
typespec,7602,75bc09161f7c7c6a86bb0cd6b9271136,8,18,18,mei_final,0.4444,0.6111
typespec,7602,c34e747a6ca28267ac1645bfd09e8063,8,18,18,mei_final,0.4444,0.6111
typespec,7602,66ded3c3ad5bb1ec21a18c84820ff3ff,8,18,18,mei_final,0.4444,0.6111
typespec,7602,5be6049d7ffd6dfe651254edce2738ef,8,18,18,mei_final,0.4444,0.6111
typespec,7602,3b49399d4115b6fe001760a49a70b588,8,18,18,mei_final,0.4444,0.6111
typespec,7602,3b49399d4115b6fe001760a49a70b588,8,18,18,mei_final,0.4444,0.6111
typespec,7602,62a98b013e539e24694d1f6aeb9ae2c8,8,18,18,mei_final,0.4444,0.6111
typespec,7602,1bd1faa7d4bb95a3557eb4df5e9daca5,8,18,18,mei_final,0.4444,0.6111
typespec,7602,e7a80abd05daa6003bec570d24ea6459,8,18,18,mei_final,0.4444,0.6111
typespec,7602,8b240116947edf74734149cae1ce5c00,8,18,18,mei_final,0.4444,0.6111
typespec,7602,0dfe9ec1845869c3747f3d9da1f4f504,8,18,18,mei_final,0.4444,0.6111
typespec,7602,98ab8cfbc95f29ce6bc209b5866b1fe5,8,18,18,mei_final,0.4444,0.6111
typespec,7602,94707832f17f38c26c2194b0054824e0,8,18,18,mei_final,0.4444,0.6111
typespec,7602,4e22b7a2df992f07b8a6eeb428d74190,8,18,18,mei_final,0.4444,0.6111
typespec,7602,3b49399d4115b6fe001760a49a70b588,8,18,18,mei_final,0.4444,0.6111
typespec,7602,8f2879388b017a27d4655b6a356c3473,8,18,18,mei_final,0.4444,0.6111
typespec,7602,a4e3549c7d7adf3ccf5f292b13679092,8,18,18,mei_final,0.4444,0.6111
typespec,7602,3003c0fabf6dea8ccd4df08d1001226c,8,18,18,mei_final,0.4444,0.6111
typespec,7602,8f2879388b017a27d4655b6a356c3473,8,18,18,mei_final,0.4444,0.6111
typespec,7602,51595c327ed3995b5e109120e363283a,8,18,18,mei_final,0.4444,0.6111
typespec,7602,62a98b013e539e24694d1f6aeb9ae2c8,8,18,18,mei_final,0.4444,0.6111
typespec,7602,0ea378f74d4c50507aa18e12ce00f428,8,18,18,mei_final,0.4444,0.6111
typespec,7602,8b240116947edf74734149cae1ce5c00,8,18,18,mei_final,0.4444,0.6111
typespec,7602,000f1127b82b63d199ded2af6752fab6,8,18,18,mei_final,0.4444,0.6111
typespec,7602,e7a80abd05daa6003bec570d24ea6459,8,18,18,mei_final,0.4444,0.6111
typespec,7602,3b49399d4115b6fe001760a49a70b588,8,18,18,mei_final,0.4444,0.6111
typespec,7602,bfd244818526dd32d16569975383d931,8,18,18,mei_final,0.4444,0.6111
typespec,7602,0dfe9ec1845869c3747f3d9da1f4f504,8,18,18,mei_final,0.4444,0.6111
typespec,7602,24ea1d200d1b4b8c1b27b79869664100,8,18,18,mei_final,0.4444,0.6111
typespec,7602,b4ff20ec614060a9a37164571c7e48bb,8,18,18,mei_final,0.4444,0.6111
typespec,7602,c34e747a6ca28267ac1645bfd09e8063,8,18,18,mei_final,0.4444,0.6111
typespec,7602,f7a262030abb5e449192d93a5080e031,17,18,18,mei_final,0.9444,0.1111
typespec,7602,37a68ad7371dc5a063952d596939ae3f,17,18,18,mei_final,0.9444,0.1111
typespec,7602,f7a262030abb5e449192d93a5080e031,17,18,18,mei_final,0.9444,0.1111
typespec,7602,5e8fbde0400ad1ead76b9367aeb582a1,17,18,18,mei_final,0.9444,0.1111
typespec,7602,5e8fbde0400ad1ead76b9367aeb582a1,17,18,18,mei_final,0.9444,0.1111
