project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
AutoGPT,9963,9b478b88805b7de4fc6b7c61147bed0c,2,2,2,unique_final,1.0,0.5
AutoGPT,9963,90065593b6ef59b7b8fc9eddb75a83e1,2,2,2,unique_final,1.0,0.5
AutoGPT,9963,e04058bc2e85b851b4dc26f530350529,2,2,2,unique_final,1.0,0.5
AutoGPT,9963,9b478b88805b7de4fc6b7c61147bed0c,2,2,2,unique_final,1.0,0.5
AutoGPT,9963,e04058bc2e85b851b4dc26f530350529,2,2,2,unique_final,1.0,0.5
AutoGPT,9963,6f73830aada22eef5df4d136c2efc5c8,2,2,2,unique_final,1.0,0.5
AutoGPT,9963,90065593b6ef59b7b8fc9eddb75a83e1,2,2,2,unique_final,1.0,0.5
AutoGPT,9963,6f73830aada22eef5df4d136c2efc5c8,2,2,2,unique_final,1.0,0.5
AutoGPT,9965,9b478b88805b7de4fc6b7c61147bed0c,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,6231483f4e7bdf1575dba3880db26154,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,6231483f4e7bdf1575dba3880db26154,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,9b377e7ef5ec1951682cde46a76ce610,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,6231483f4e7bdf1575dba3880db26154,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,9b478b88805b7de4fc6b7c61147bed0c,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,6f73830aada22eef5df4d136c2efc5c8,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,6231483f4e7bdf1575dba3880db26154,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,9b377e7ef5ec1951682cde46a76ce610,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,6f73830aada22eef5df4d136c2efc5c8,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,90065593b6ef59b7b8fc9eddb75a83e1,9,15,15,mei_final,0.6,0.4667
AutoGPT,9965,90065593b6ef59b7b8fc9eddb75a83e1,9,15,15,mei_final,0.6,0.4667
AutoGPT,10340,621fbb0ec486c1b401a28f9cbcaaca96,1,1,24,unique_ini,0.0,0.0417
AutoGPT,10340,621fbb0ec486c1b401a28f9cbcaaca96,1,1,24,unique_ini,0.0,0.0417
AutoGPT,10340,9b377e7ef5ec1951682cde46a76ce610,4,5,24,mei,0.1667,0.0833
AutoGPT,10340,9b377e7ef5ec1951682cde46a76ce610,4,5,24,mei,0.1667,0.0833
AutoGPT,10340,6231483f4e7bdf1575dba3880db26154,4,12,24,mei,0.1667,0.375
AutoGPT,10340,6231483f4e7bdf1575dba3880db26154,4,12,24,mei,0.1667,0.375
AutoGPT,10340,6231483f4e7bdf1575dba3880db26154,4,12,24,mei,0.1667,0.375
AutoGPT,10340,6231483f4e7bdf1575dba3880db26154,4,12,24,mei,0.1667,0.375
AutoGPT,10340,5ba2ba588a9ab68f66bbce440d75cc89,13,24,24,mei_final,0.5417,0.5
AutoGPT,10340,5ba2ba588a9ab68f66bbce440d75cc89,13,24,24,mei_final,0.5417,0.5
AutoGPT,10340,5ba2ba588a9ab68f66bbce440d75cc89,13,24,24,mei_final,0.5417,0.5
AutoGPT,10340,5ba2ba588a9ab68f66bbce440d75cc89,13,24,24,mei_final,0.5417,0.5
