project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,1,1,27,unique_ini,0.0,0.037
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,1,1,27,unique_ini,0.0,0.037
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,2,6,27,mei,0.0741,0.1852
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,2,6,27,mei,0.0741,0.1852
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,7,8,27,mei,0.2593,0.0741
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,7,8,27,mei,0.2593,0.0741
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,9,9,27,unique_mei,0.3333,0.037
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,9,9,27,unique_mei,0.3333,0.037
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,10,10,27,unique_mei,0.3704,0.037
DDNS,498,f9eaedcdfed66c37a72bf9f18fbead47,10,10,27,unique_mei,0.3704,0.037
DDNS,498,ffa8cb0b145b070709dabcdbefdfb709,14,14,27,unique_mei,0.5185,0.037
DDNS,498,ffa8cb0b145b070709dabcdbefdfb709,14,14,27,unique_mei,0.5185,0.037
DDNS,498,9757c6a4729f3555c61100038f5b30f6,14,14,27,unique_mei,0.5185,0.037
DDNS,498,9757c6a4729f3555c61100038f5b30f6,14,14,27,unique_mei,0.5185,0.037
DDNS,498,7b58d1a05811930203f8aa8259b65744,6,16,27,mei,0.2222,0.4074
DDNS,498,e47bc4b44f33169268bd2fbe7c984a6f,6,16,27,mei,0.2222,0.4074
DDNS,498,10fe249962c33a39d827733c5d8ffb4c,6,16,27,mei,0.2222,0.4074
DDNS,498,7b58d1a05811930203f8aa8259b65744,6,16,27,mei,0.2222,0.4074
DDNS,498,10fe249962c33a39d827733c5d8ffb4c,6,16,27,mei,0.2222,0.4074
DDNS,498,a5421996a306073db2d3cfa19621f906,15,16,27,mei,0.5556,0.0741
DDNS,498,829b784df66f71e723e7e6f208edae6c,15,16,27,mei,0.5556,0.0741
DDNS,498,829b784df66f71e723e7e6f208edae6c,15,16,27,mei,0.5556,0.0741
DDNS,498,cfb7c75b05ad4c3b575e8aa716062715,15,16,27,mei,0.5556,0.0741
DDNS,498,ffa8cb0b145b070709dabcdbefdfb709,19,20,27,mei,0.7037,0.0741
DDNS,498,9757c6a4729f3555c61100038f5b30f6,19,20,27,mei,0.7037,0.0741
DDNS,498,9757c6a4729f3555c61100038f5b30f6,19,20,27,mei,0.7037,0.0741
DDNS,498,ffa8cb0b145b070709dabcdbefdfb709,19,20,27,mei,0.7037,0.0741
DDNS,498,653f6527d7b3340eaeeefb4451e71750,6,27,27,mei_final,0.2222,0.8148
DDNS,498,e47bc4b44f33169268bd2fbe7c984a6f,6,27,27,mei_final,0.2222,0.8148
DDNS,498,5159462907975eb79db37e334b6c80f8,6,27,27,mei_final,0.2222,0.8148
DDNS,498,653f6527d7b3340eaeeefb4451e71750,6,27,27,mei_final,0.2222,0.8148
DDNS,498,5159462907975eb79db37e334b6c80f8,6,27,27,mei_final,0.2222,0.8148
DDNS,498,6053096c7c4b16bfbb9e8dd3455f05ef,11,27,27,mei_final,0.4074,0.6296
DDNS,498,6053096c7c4b16bfbb9e8dd3455f05ef,11,27,27,mei_final,0.4074,0.6296
DDNS,498,c1f7eb25469d15e8032d70c24bfe19c3,11,27,27,mei_final,0.4074,0.6296
