project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
HARK,1558,bb706573497f6b82cd7f2ca4d15cca70,1,1,1,ini_mei_final,0.0,1.0
HARK,1558,58c28609d2e20d70351e05537412bb4c,1,1,1,ini_mei_final,0.0,1.0
HARK,1558,58c28609d2e20d70351e05537412bb4c,1,1,1,ini_mei_final,0.0,1.0
HARK,1558,bb706573497f6b82cd7f2ca4d15cca70,1,1,1,ini_mei_final,0.0,1.0
HARK,1558,58c28609d2e20d70351e05537412bb4c,1,1,1,ini_mei_final,0.0,1.0
HARK,1559,f0ad1bf1ff3335264a906a69a301e616,1,1,3,unique_ini,0.0,0.3333
HARK,1559,bb706573497f6b82cd7f2ca4d15cca70,2,3,3,mei_final,0.6667,0.6667
HARK,1559,58c28609d2e20d70351e05537412bb4c,2,3,3,mei_final,0.6667,0.6667
HARK,1559,58c28609d2e20d70351e05537412bb4c,2,3,3,mei_final,0.6667,0.6667
HARK,1559,bb706573497f6b82cd7f2ca4d15cca70,2,3,3,mei_final,0.6667,0.6667
HARK,1559,58c28609d2e20d70351e05537412bb4c,2,3,3,mei_final,0.6667,0.6667
HARK,1562,ca1b3a27284f7235438e07b6a0aabb97,1,1,1,ini_mei_final,0.0,1.0
HARK,1562,ca1b3a27284f7235438e07b6a0aabb97,1,1,1,ini_mei_final,0.0,1.0
