project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Kiln,352,1366427e3617425d9639f0d4049e103e,7,11,11,mei_final,0.6364,0.4545
Kiln,352,66253343733d5b956409b00424eb29ab,7,11,11,mei_final,0.6364,0.4545
Kiln,352,e5e67359f707f6ac672f68c0cd974a2a,7,11,11,mei_final,0.6364,0.4545
Kiln,352,e5e67359f707f6ac672f68c0cd974a2a,7,11,11,mei_final,0.6364,0.4545
Kiln,352,66253343733d5b956409b00424eb29ab,7,11,11,mei_final,0.6364,0.4545
Kiln,352,1366427e3617425d9639f0d4049e103e,7,11,11,mei_final,0.6364,0.4545
Kiln,355,2549e99d4cccb0a007193263538c27fd,1,3,3,ini_mei_final,0.0,1.0
Kiln,355,2549e99d4cccb0a007193263538c27fd,1,3,3,ini_mei_final,0.0,1.0
Kiln,358,028dd53157d7cf814575a3a1c9441c99,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,c77c7016ad612eadff6d8e1ee3a3c194,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,975e813733aa27a0a0c7f1fab8f572e3,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,028dd53157d7cf814575a3a1c9441c99,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,29b2246ab540d5a41b23a75efa79fe7e,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,975e813733aa27a0a0c7f1fab8f572e3,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,7b28cf30e20849cabe08deee30f2f763,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,294cd782698b14bf1e71de0583e60149,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,29b2246ab540d5a41b23a75efa79fe7e,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,975e813733aa27a0a0c7f1fab8f572e3,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,f81dbbb7a30ebf280d91020f00e8140d,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,c75148756c9193e7d9a247f08ff8740c,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,c75148756c9193e7d9a247f08ff8740c,2,2,12,unique_mei,0.1667,0.0833
Kiln,358,c77c7016ad612eadff6d8e1ee3a3c194,2,3,12,mei,0.1667,0.1667
Kiln,358,7b28cf30e20849cabe08deee30f2f763,2,3,12,mei,0.1667,0.1667
Kiln,358,f81dbbb7a30ebf280d91020f00e8140d,2,3,12,mei,0.1667,0.1667
Kiln,358,294cd782698b14bf1e71de0583e60149,2,3,12,mei,0.1667,0.1667
Kiln,358,096b60d5881069a7dfa943d5f0113dec,3,3,12,unique_mei,0.25,0.0833
Kiln,358,b9459c6dda6994117cef23769b6de9b6,3,3,12,unique_mei,0.25,0.0833
Kiln,358,096b60d5881069a7dfa943d5f0113dec,3,3,12,unique_mei,0.25,0.0833
Kiln,358,c75148756c9193e7d9a247f08ff8740c,3,3,12,unique_mei,0.25,0.0833
