project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
Olive,1897,16a3da9ced7cbe3c1773fa6d7e3ed5f9,2,4,11,mei,0.1818,0.2727
Olive,1897,16a3da9ced7cbe3c1773fa6d7e3ed5f9,2,4,11,mei,0.1818,0.2727
Olive,1904,a64db2efc5944ee6265118bb335b1426,2,3,19,mei,0.1053,0.1053
Olive,1904,a64db2efc5944ee6265118bb335b1426,2,4,19,mei,0.1053,0.1579
Olive,1904,a64db2efc5944ee6265118bb335b1426,4,4,19,unique_mei,0.2105,0.0526
Olive,1904,e90a247e5950d9061955e771bb7b7c44,5,5,19,unique_mei,0.2632,0.0526
Olive,1904,e90a247e5950d9061955e771bb7b7c44,5,5,19,unique_mei,0.2632,0.0526
Olive,1907,56912c90e196b9fb4bf7e68fb92d0d95,11,12,19,mei,0.5789,0.1053
Olive,1907,ffc8a1f890b9519134100ca23e865c68,11,12,19,mei,0.5789,0.1053
Olive,1907,ffc8a1f890b9519134100ca23e865c68,11,19,19,mei_final,0.5789,0.4737
Olive,1907,56912c90e196b9fb4bf7e68fb92d0d95,11,19,19,mei_final,0.5789,0.4737
Olive,1907,ffc8a1f890b9519134100ca23e865c68,13,19,19,mei_final,0.6842,0.3684
Olive,1907,56912c90e196b9fb4bf7e68fb92d0d95,13,19,19,mei_final,0.6842,0.3684
Olive,1911,ffc8a1f890b9519134100ca23e865c68,4,4,4,unique_final,1.0,0.25
Olive,1911,56912c90e196b9fb4bf7e68fb92d0d95,4,4,4,unique_final,1.0,0.25
Olive,1911,ffc8a1f890b9519134100ca23e865c68,4,4,4,unique_final,1.0,0.25
Olive,1911,56912c90e196b9fb4bf7e68fb92d0d95,4,4,4,unique_final,1.0,0.25
Olive,1915,ffc8a1f890b9519134100ca23e865c68,1,1,6,unique_ini,0.0,0.1667
Olive,1915,56912c90e196b9fb4bf7e68fb92d0d95,1,6,6,ini_mei_final,0.0,1.0
Olive,1915,ffc8a1f890b9519134100ca23e865c68,2,6,6,mei_final,0.3333,0.8333
