project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
agentops,729,02db30931e107d7c74177d4d4c43fceb,1,2,19,ini_mei,0.0,0.1053
agentops,729,02db30931e107d7c74177d4d4c43fceb,1,2,19,ini_mei,0.0,0.1053
agentops,1080,7f09fd6a6908230c8291291a1472e261,2,2,2,unique_final,1.0,0.5
agentops,1080,c1a64496f0a9eb6f1f4f0b2c791b4c78,2,2,2,unique_final,1.0,0.5
agentops,1080,4ff8a2b19fc7225604933537557dd54f,2,2,2,unique_final,1.0,0.5
agentops,1080,6e79705f13d6a8cbaa5981c97e1c7b8b,2,2,2,unique_final,1.0,0.5
agentops,1080,7f09fd6a6908230c8291291a1472e261,2,2,2,unique_final,1.0,0.5
agentops,1080,c1a64496f0a9eb6f1f4f0b2c791b4c78,2,2,2,unique_final,1.0,0.5
agentops,1080,4ff8a2b19fc7225604933537557dd54f,2,2,2,unique_final,1.0,0.5
agentops,1080,6e79705f13d6a8cbaa5981c97e1c7b8b,2,2,2,unique_final,1.0,0.5
agentops,1080,c1a64496f0a9eb6f1f4f0b2c791b4c78,2,2,2,unique_final,1.0,0.5
agentops,1080,c1a64496f0a9eb6f1f4f0b2c791b4c78,2,2,2,unique_final,1.0,0.5
agentops,1134,a9252aafb9623b120da8b450f1e8c94e,3,3,3,unique_final,1.0,0.3333
agentops,1134,97c09d670541135aff3f902998f8bd1b,3,3,3,unique_final,1.0,0.3333
agentops,1134,8fdf3c428640392925f52aad7e7743d5,3,3,3,unique_final,1.0,0.3333
agentops,1134,97c09d670541135aff3f902998f8bd1b,3,3,3,unique_final,1.0,0.3333
agentops,1134,fed408a9f46bac0f6beb5c76114d20a8,3,3,3,unique_final,1.0,0.3333
agentops,1134,8fdf3c428640392925f52aad7e7743d5,3,3,3,unique_final,1.0,0.3333
agentops,1134,48d470f60b7a0c38f39e1fd947025327,3,3,3,unique_final,1.0,0.3333
agentops,1134,43342cbd796c1d2e9cefee05d91d4b0f,3,3,3,unique_final,1.0,0.3333
agentops,1134,526a8832d69c9dc65ca2cbdb383564ef,3,3,3,unique_final,1.0,0.3333
agentops,1134,48d470f60b7a0c38f39e1fd947025327,3,3,3,unique_final,1.0,0.3333
agentops,1134,704c42070637efa4187c1b4a48bc12e0,3,3,3,unique_final,1.0,0.3333
agentops,1134,fed408a9f46bac0f6beb5c76114d20a8,3,3,3,unique_final,1.0,0.3333
agentops,1134,ebf262b8a35e5d9885a7baad350dbb07,3,3,3,unique_final,1.0,0.3333
agentops,1134,15a698e02238c53a172972805d5f1dcc,3,3,3,unique_final,1.0,0.3333
agentops,1134,ebf262b8a35e5d9885a7baad350dbb07,3,3,3,unique_final,1.0,0.3333
agentops,1134,43342cbd796c1d2e9cefee05d91d4b0f,3,3,3,unique_final,1.0,0.3333
agentops,1134,1da748a4c07af978a6d61e759442d968,3,3,3,unique_final,1.0,0.3333
agentops,1134,526a8832d69c9dc65ca2cbdb383564ef,3,3,3,unique_final,1.0,0.3333
agentops,1134,d8269bfadb1e1424ea402e9f039b7a0d,3,3,3,unique_final,1.0,0.3333
agentops,1134,d8269bfadb1e1424ea402e9f039b7a0d,3,3,3,unique_final,1.0,0.3333
agentops,1134,15a698e02238c53a172972805d5f1dcc,3,3,3,unique_final,1.0,0.3333
agentops,1134,ebf262b8a35e5d9885a7baad350dbb07,3,3,3,unique_final,1.0,0.3333
agentops,1134,a9252aafb9623b120da8b450f1e8c94e,3,3,3,unique_final,1.0,0.3333
agentops,1134,704c42070637efa4187c1b4a48bc12e0,3,3,3,unique_final,1.0,0.3333
agentops,1134,1da748a4c07af978a6d61e759442d968,3,3,3,unique_final,1.0,0.3333
