project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
ailia-models,1704,45c599f91015cbaadc0908171f68345f,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,35910541a70cebcb4bc1fe90a8bb7f4b,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,1c28402a7d5239bc3b14eaa211013310,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,d375dea895381e47f269f4dc09947d9e,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,2ba1e9e863376d7f168d1f0823a7974d,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,b5d260a48edb1c9af3cc0eb65d0f93db,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,e01899a18cfc681610767484b2b64b52,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,b5d260a48edb1c9af3cc0eb65d0f93db,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,e01899a18cfc681610767484b2b64b52,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,28d82005213fe4a41edeca9862faddc3,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,2ba1e9e863376d7f168d1f0823a7974d,1,1,3,unique_ini,0.0,0.3333
ailia-models,1704,d375dea895381e47f269f4dc09947d9e,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,121bf8ab1783b042c4163f17158cbe0c,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,121bf8ab1783b042c4163f17158cbe0c,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,8ebb2e9a1797bddda0d7744720f583ba,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,8ebb2e9a1797bddda0d7744720f583ba,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,8fb3ac3e4b36ebc0e06f8551f760efda,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,45c599f91015cbaadc0908171f68345f,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,4f31caf4b8e787209689610d8cb0d136,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,1707f612520c432f63a7d1ba7271f45f,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,1c28402a7d5239bc3b14eaa211013310,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,94057fc23b21b86a739b4186acafd6f8,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,28d82005213fe4a41edeca9862faddc3,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,2c0c0d3e9e76dca4780b1122eca22ed6,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,94057fc23b21b86a739b4186acafd6f8,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,ec7b7700d9cee06bab3e30ee25863141,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,ec7b7700d9cee06bab3e30ee25863141,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,cb07a3b77383b007ef8af9674fd57942,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,1707f612520c432f63a7d1ba7271f45f,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,1d9b39f9660ada7273824edb3fe85b66,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,cb07a3b77383b007ef8af9674fd57942,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,35910541a70cebcb4bc1fe90a8bb7f4b,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,1d9b39f9660ada7273824edb3fe85b66,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,2c0c0d3e9e76dca4780b1122eca22ed6,1,3,3,ini_mei_final,0.0,1.0
ailia-models,1704,7f1da6272ec1d63e4b38534e6d5c2ec9,2,3,3,mei_final,0.6667,0.6667
ailia-models,1704,d375dea895381e47f269f4dc09947d9e,2,3,3,mei_final,0.6667,0.6667
ailia-models,1704,1c28402a7d5239bc3b14eaa211013310,2,3,3,mei_final,0.6667,0.6667
ailia-models,1704,28d82005213fe4a41edeca9862faddc3,2,3,3,mei_final,0.6667,0.6667
ailia-models,1704,7f1da6272ec1d63e4b38534e6d5c2ec9,2,3,3,mei_final,0.6667,0.6667
ailia-models,1704,35910541a70cebcb4bc1fe90a8bb7f4b,2,3,3,mei_final,0.6667,0.6667
ailia-models,1704,45c599f91015cbaadc0908171f68345f,2,3,3,mei_final,0.6667,0.6667
