project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
btcrecover,609,ca925a77a542133738b0a3acde6338b6,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,31191e81b7451c8961b922bbebf39f94,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,b32ba477c123113a8498c68751b79f8b,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,678aaf54571b965d91defc46b3dc406c,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,678aaf54571b965d91defc46b3dc406c,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,99e090e9f7987ba01a4680fc3ddcfea2,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,99d3aa182f08d37477032445956bed14,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,f1093d491f93f045ee246e0c4745fada,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,31191e81b7451c8961b922bbebf39f94,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,0f5fdc91db73864699f328eb9323180e,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,f1093d491f93f045ee246e0c4745fada,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,99e090e9f7987ba01a4680fc3ddcfea2,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,678aaf54571b965d91defc46b3dc406c,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,0f5fdc91db73864699f328eb9323180e,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,ca925a77a542133738b0a3acde6338b6,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,31191e81b7451c8961b922bbebf39f94,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,08f19d843cc59b376e214164e09cb579,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,08f19d843cc59b376e214164e09cb579,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,0f5fdc91db73864699f328eb9323180e,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,0f5fdc91db73864699f328eb9323180e,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,cca15008561b70f8d156aa888b0a7abc,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,408342d8ead060860fc91bebb26cf2ad,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,99d3aa182f08d37477032445956bed14,17,18,18,mei_final,0.9444,0.1111
btcrecover,609,e9d95d75453385a58699dc03ff776787,18,18,18,unique_final,1.0,0.0556
btcrecover,611,283d78f162e36d7864172fcb9c27314d,2,8,8,mei_final,0.25,0.875
btcrecover,611,e6b273bd7e3100ddb9028d58c79cadd6,2,8,8,mei_final,0.25,0.875
btcrecover,611,e9d95d75453385a58699dc03ff776787,2,8,8,mei_final,0.25,0.875
btcrecover,611,e6b273bd7e3100ddb9028d58c79cadd6,2,8,8,mei_final,0.25,0.875
btcrecover,612,1bc716c65048c6d1c59c559671c67b37,1,7,7,ini_mei_final,0.0,1.0
btcrecover,612,1bc716c65048c6d1c59c559671c67b37,1,7,7,ini_mei_final,0.0,1.0
btcrecover,612,b1d086189f97c1ce9679a64f5c55d81d,1,7,7,ini_mei_final,0.0,1.0
btcrecover,612,b1d086189f97c1ce9679a64f5c55d81d,1,7,7,ini_mei_final,0.0,1.0
btcrecover,612,b1d086189f97c1ce9679a64f5c55d81d,1,7,7,ini_mei_final,0.0,1.0
btcrecover,612,b1d086189f97c1ce9679a64f5c55d81d,1,7,7,ini_mei_final,0.0,1.0
btcrecover,612,1bc716c65048c6d1c59c559671c67b37,1,7,7,ini_mei_final,0.0,1.0
btcrecover,614,0f5fdc91db73864699f328eb9323180e,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,8c107da68d5c0583dd726d39f55cc0bc,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,31191e81b7451c8961b922bbebf39f94,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,678aaf54571b965d91defc46b3dc406c,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,99e090e9f7987ba01a4680fc3ddcfea2,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,0f5fdc91db73864699f328eb9323180e,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,678aaf54571b965d91defc46b3dc406c,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,b32ba477c123113a8498c68751b79f8b,1,1,1,ini_mei_final,0.0,1.0
btcrecover,614,0f5fdc91db73864699f328eb9323180e,1,1,1,ini_mei_final,0.0,1.0
