project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
cartography,1622,6e4475684b16c3500465799c2cdbe5c2,3,5,5,mei_final,0.6,0.6
cartography,1622,53a049fa5fd792cbeec4e30f2a0c3070,3,5,5,mei_final,0.6,0.6
cartography,1622,d3454bd7b0c653787d6c838a62e888f2,3,5,5,mei_final,0.6,0.6
cartography,1622,2a81d2561e289d4a66d4938efb1eba00,3,5,5,mei_final,0.6,0.6
cartography,1622,ec65a6beef0c7129ff8373a6a962f909,3,5,5,mei_final,0.6,0.6
cartography,1622,53a049fa5fd792cbeec4e30f2a0c3070,3,5,5,mei_final,0.6,0.6
cartography,1622,3188e77d69d1dfa4b42bbdeaa8d07c9d,3,5,5,mei_final,0.6,0.6
cartography,1622,6e4475684b16c3500465799c2cdbe5c2,3,5,5,mei_final,0.6,0.6
cartography,1622,5c54be7658fed8ebd297a2ce80cd8db2,3,5,5,mei_final,0.6,0.6
cartography,1622,2a81d2561e289d4a66d4938efb1eba00,3,5,5,mei_final,0.6,0.6
cartography,1622,124838e78faabecfb1d00f5539a9dbfb,3,5,5,mei_final,0.6,0.6
cartography,1622,3188e77d69d1dfa4b42bbdeaa8d07c9d,3,5,5,mei_final,0.6,0.6
cartography,1622,6e4475684b16c3500465799c2cdbe5c2,3,5,5,mei_final,0.6,0.6
cartography,1622,6e4475684b16c3500465799c2cdbe5c2,3,5,5,mei_final,0.6,0.6
cartography,1622,5c54be7658fed8ebd297a2ce80cd8db2,3,5,5,mei_final,0.6,0.6
cartography,1622,53a049fa5fd792cbeec4e30f2a0c3070,3,5,5,mei_final,0.6,0.6
cartography,1622,ec65a6beef0c7129ff8373a6a962f909,3,5,5,mei_final,0.6,0.6
cartography,1622,6e4475684b16c3500465799c2cdbe5c2,3,5,5,mei_final,0.6,0.6
cartography,1622,3188e77d69d1dfa4b42bbdeaa8d07c9d,3,5,5,mei_final,0.6,0.6
cartography,1622,d3454bd7b0c653787d6c838a62e888f2,3,5,5,mei_final,0.6,0.6
cartography,1622,124838e78faabecfb1d00f5539a9dbfb,3,5,5,mei_final,0.6,0.6
cartography,1622,5c54be7658fed8ebd297a2ce80cd8db2,3,5,5,mei_final,0.6,0.6
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,85a435d4e9429fd5e90a9362adb6f2a7,4,5,5,mei_final,0.8,0.4
cartography,1622,7084d22d1a4698a68997cff72b7144a9,4,5,5,mei_final,0.8,0.4
cartography,1622,cf84a1be1ad20b78a78bfd76dc32918d,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,a1d537a79cbce41b3e3ee102d4b332e7,4,5,5,mei_final,0.8,0.4
cartography,1622,cf84a1be1ad20b78a78bfd76dc32918d,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,2885f0171aba6ef2025814d600cd674b,4,5,5,mei_final,0.8,0.4
cartography,1622,f67f8b0e152d86d67b4bb6973c3962a1,4,5,5,mei_final,0.8,0.4
cartography,1622,a1d537a79cbce41b3e3ee102d4b332e7,4,5,5,mei_final,0.8,0.4
cartography,1622,cf84a1be1ad20b78a78bfd76dc32918d,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,85a435d4e9429fd5e90a9362adb6f2a7,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,85a435d4e9429fd5e90a9362adb6f2a7,4,5,5,mei_final,0.8,0.4
cartography,1622,44bfdb42219538a478fca34d99f0f506,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,cf84a1be1ad20b78a78bfd76dc32918d,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,f67f8b0e152d86d67b4bb6973c3962a1,4,5,5,mei_final,0.8,0.4
cartography,1622,22f3bed238927b17431b0b501a0bd1d1,4,5,5,mei_final,0.8,0.4
cartography,1622,6cdcd50cff380e8f52e6698daf964dd1,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,85a435d4e9429fd5e90a9362adb6f2a7,4,5,5,mei_final,0.8,0.4
cartography,1622,22f3bed238927b17431b0b501a0bd1d1,4,5,5,mei_final,0.8,0.4
cartography,1622,7084d22d1a4698a68997cff72b7144a9,4,5,5,mei_final,0.8,0.4
cartography,1622,2885f0171aba6ef2025814d600cd674b,4,5,5,mei_final,0.8,0.4
cartography,1622,44bfdb42219538a478fca34d99f0f506,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1622,8352263dd83f500145a359f3378d5189,4,5,5,mei_final,0.8,0.4
cartography,1623,8352263dd83f500145a359f3378d5189,2,9,9,mei_final,0.2222,0.8889
cartography,1623,6cdcd50cff380e8f52e6698daf964dd1,2,9,9,mei_final,0.2222,0.8889
cartography,1623,8352263dd83f500145a359f3378d5189,2,9,9,mei_final,0.2222,0.8889
cartography,1623,85a435d4e9429fd5e90a9362adb6f2a7,2,9,9,mei_final,0.2222,0.8889
cartography,1623,7084d22d1a4698a68997cff72b7144a9,2,9,9,mei_final,0.2222,0.8889
cartography,1623,6e4475684b16c3500465799c2cdbe5c2,2,9,9,mei_final,0.2222,0.8889
cartography,1623,cf84a1be1ad20b78a78bfd76dc32918d,2,9,9,mei_final,0.2222,0.8889
cartography,1623,6cdcd50cff380e8f52e6698daf964dd1,2,9,9,mei_final,0.2222,0.8889
cartography,1623,53a049fa5fd792cbeec4e30f2a0c3070,2,9,9,mei_final,0.2222,0.8889
cartography,1623,8352263dd83f500145a359f3378d5189,2,9,9,mei_final,0.2222,0.8889
cartography,1623,d3454bd7b0c653787d6c838a62e888f2,2,9,9,mei_final,0.2222,0.8889
cartography,1623,6cdcd50cff380e8f52e6698daf964dd1,2,9,9,mei_final,0.2222,0.8889
cartography,1623,2a81d2561e289d4a66d4938efb1eba00,2,9,9,mei_final,0.2222,0.8889
cartography,1623,c6dae728d028cf0e3d91cb9185185748,2,9,9,mei_final,0.2222,0.8889
cartography,1623,ec65a6beef0c7129ff8373a6a962f909,2,9,9,mei_final,0.2222,0.8889
cartography,1623,a1d537a79cbce41b3e3ee102d4b332e7,2,9,9,mei_final,0.2222,0.8889
cartography,1623,cf84a1be1ad20b78a78bfd76dc32918d,2,9,9,mei_final,0.2222,0.8889
cartography,1623,8352263dd83f500145a359f3378d5189,2,9,9,mei_final,0.2222,0.8889
cartography,1623,53a049fa5fd792cbeec4e30f2a0c3070,2,9,9,mei_final,0.2222,0.8889
cartography,1623,6cdcd50cff380e8f52e6698daf964dd1,2,9,9,mei_final,0.2222,0.8889
cartography,1623,8352263dd83f500145a359f3378d5189,2,9,9,mei_final,0.2222,0.8889
cartography,1623,2885f0171aba6ef2025814d600cd674b,2,9,9,mei_final,0.2222,0.8889
