project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
crewAI,1818,761458a4299f030cf34dd83a693fb1b0,17,17,17,unique_final,1.0,0.0588
crewAI,1818,761458a4299f030cf34dd83a693fb1b0,17,17,17,unique_final,1.0,0.0588
crewAI,1828,1e7a7e3abed473e744343cbc1f5a3474,2,7,7,mei_final,0.2857,0.8571
crewAI,1892,761458a4299f030cf34dd83a693fb1b0,2,19,19,mei_final,0.1053,0.9474
crewAI,1892,761458a4299f030cf34dd83a693fb1b0,2,19,19,mei_final,0.1053,0.9474
crewAI,2277,4f684f3ab7dc2bc717ae93eb663c51ec,1,1,21,unique_ini,0.0,0.0476
crewAI,2277,4f684f3ab7dc2bc717ae93eb663c51ec,1,1,21,unique_ini,0.0,0.0476
crewAI,2277,4f684f3ab7dc2bc717ae93eb663c51ec,2,2,21,unique_mei,0.0952,0.0476
crewAI,2277,4f684f3ab7dc2bc717ae93eb663c51ec,2,4,21,mei,0.0952,0.1429
crewAI,2277,4f684f3ab7dc2bc717ae93eb663c51ec,3,4,21,mei,0.1429,0.0952
crewAI,2277,f96a55639f7ad4c73a1937287f32ea71,5,5,21,unique_mei,0.2381,0.0476
crewAI,2277,f96a55639f7ad4c73a1937287f32ea71,5,5,21,unique_mei,0.2381,0.0476
crewAI,2277,99471c6666c1985011a6d8265ad99110,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,d522b5be676849ed2b03c80c62316226,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,660b88639e39c7bced6d0aac507f029a,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,e384b0cfc402c2b57b3d50f555e66202,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,f1ed14001f61ae5f9f9dd019de63cd41,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,d522b5be676849ed2b03c80c62316226,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,7bff4ac91c27c88c138555eccb82e692,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,7bff4ac91c27c88c138555eccb82e692,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,d522b5be676849ed2b03c80c62316226,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,c366425525e277e2a085f94399234383,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,7bff4ac91c27c88c138555eccb82e692,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,c366425525e277e2a085f94399234383,20,21,21,mei_final,0.9524,0.0952
crewAI,2277,660b88639e39c7bced6d0aac507f029a,20,21,21,mei_final,0.9524,0.0952
