project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
dace,2019,0e663f0d3e37892ecc2cad590078d745,27,27,28,unique_mei,0.9643,0.0357
dace,2019,591350b8a70cb1a8c34bd4454c420e51,27,27,28,unique_mei,0.9643,0.0357
dace,2019,3fe0d8e931518f141bec1b8e6b1bdf8a,27,27,28,unique_mei,0.9643,0.0357
dace,2019,d206576ac7f9802787e9ba37b8137b92,27,27,28,unique_mei,0.9643,0.0357
dace,2019,d206576ac7f9802787e9ba37b8137b92,27,27,28,unique_mei,0.9643,0.0357
dace,2019,fa2ba2403d7df483e9e6aa9166cf6c98,27,27,28,unique_mei,0.9643,0.0357
dace,2019,d1dee3fe0a08e6c3784318fd29f76e6d,27,27,28,unique_mei,0.9643,0.0357
dace,2019,0c89c9a1a4f8e292ba5553e9b4b2baae,27,27,28,unique_mei,0.9643,0.0357
dace,2019,fa2ba2403d7df483e9e6aa9166cf6c98,27,27,28,unique_mei,0.9643,0.0357
dace,2019,373d29835b7a2119da8873fe5caaedeb,27,27,28,unique_mei,0.9643,0.0357
dace,2019,75104144ff52d221271cae6f3f62d6da,27,27,28,unique_mei,0.9643,0.0357
dace,2019,d0ead9afd209f413f230fd86a913519f,27,27,28,unique_mei,0.9643,0.0357
dace,2019,91f580e7d8701a75822791c857bf49b9,27,27,28,unique_mei,0.9643,0.0357
dace,2019,373d29835b7a2119da8873fe5caaedeb,27,27,28,unique_mei,0.9643,0.0357
dace,2019,19105269e12077c8dfe27dbc893c98b7,27,27,28,unique_mei,0.9643,0.0357
dace,2019,3769f58bbf5b3816d3b023b02133e2e7,27,27,28,unique_mei,0.9643,0.0357
dace,2019,0c89c9a1a4f8e292ba5553e9b4b2baae,27,27,28,unique_mei,0.9643,0.0357
dace,2019,020a90606ad53efc26dd48818cc8e2e5,27,27,28,unique_mei,0.9643,0.0357
dace,2019,d0ead9afd209f413f230fd86a913519f,27,27,28,unique_mei,0.9643,0.0357
dace,2019,d0ead9afd209f413f230fd86a913519f,27,27,28,unique_mei,0.9643,0.0357
dace,2019,d0ead9afd209f413f230fd86a913519f,27,27,28,unique_mei,0.9643,0.0357
dace,2019,38f152e820fb928eff643119ff3065e3,27,27,28,unique_mei,0.9643,0.0357
dace,2019,47bebf5a26e60e6417dcd3713452fa15,24,28,28,mei_final,0.8571,0.1786
dace,2019,47bebf5a26e60e6417dcd3713452fa15,24,28,28,mei_final,0.8571,0.1786
dace,2019,47bebf5a26e60e6417dcd3713452fa15,24,28,28,mei_final,0.8571,0.1786
dace,2019,47bebf5a26e60e6417dcd3713452fa15,24,28,28,mei_final,0.8571,0.1786
dace,2019,47bebf5a26e60e6417dcd3713452fa15,24,28,28,mei_final,0.8571,0.1786
dace,2019,47bebf5a26e60e6417dcd3713452fa15,24,28,28,mei_final,0.8571,0.1786
dace,2019,9dfffbfc636931f100fdc621d8c6bdae,24,28,28,mei_final,0.8571,0.1786
dace,2019,9dfffbfc636931f100fdc621d8c6bdae,24,28,28,mei_final,0.8571,0.1786
dace,2019,47bebf5a26e60e6417dcd3713452fa15,24,28,28,mei_final,0.8571,0.1786
dace,2019,4c7a8da4643fc7def8050a5b57295edb,27,28,28,mei_final,0.9643,0.0714
dace,2019,0e663f0d3e37892ecc2cad590078d745,27,28,28,mei_final,0.9643,0.0714
dace,2019,19105269e12077c8dfe27dbc893c98b7,27,28,28,mei_final,0.9643,0.0714
dace,2019,d206576ac7f9802787e9ba37b8137b92,27,28,28,mei_final,0.9643,0.0714
dace,2019,d0ead9afd209f413f230fd86a913519f,27,28,28,mei_final,0.9643,0.0714
dace,2019,fa2ba2403d7df483e9e6aa9166cf6c98,27,28,28,mei_final,0.9643,0.0714
dace,2019,020a90606ad53efc26dd48818cc8e2e5,27,28,28,mei_final,0.9643,0.0714
dace,2019,fa2ba2403d7df483e9e6aa9166cf6c98,27,28,28,mei_final,0.9643,0.0714
dace,2019,d206576ac7f9802787e9ba37b8137b92,27,28,28,mei_final,0.9643,0.0714
dace,2019,373d29835b7a2119da8873fe5caaedeb,27,28,28,mei_final,0.9643,0.0714
dace,2019,591350b8a70cb1a8c34bd4454c420e51,27,28,28,mei_final,0.9643,0.0714
dace,2019,3769f58bbf5b3816d3b023b02133e2e7,27,28,28,mei_final,0.9643,0.0714
dace,2019,0c89c9a1a4f8e292ba5553e9b4b2baae,27,28,28,mei_final,0.9643,0.0714
dace,2019,373d29835b7a2119da8873fe5caaedeb,27,28,28,mei_final,0.9643,0.0714
dace,2019,91f580e7d8701a75822791c857bf49b9,27,28,28,mei_final,0.9643,0.0714
dace,2019,d1dee3fe0a08e6c3784318fd29f76e6d,27,28,28,mei_final,0.9643,0.0714
dace,2019,3fe0d8e931518f141bec1b8e6b1bdf8a,27,28,28,mei_final,0.9643,0.0714
dace,2019,d0ead9afd209f413f230fd86a913519f,27,28,28,mei_final,0.9643,0.0714
dace,2019,4c7a8da4643fc7def8050a5b57295edb,27,28,28,mei_final,0.9643,0.0714
dace,2019,0c89c9a1a4f8e292ba5553e9b4b2baae,27,28,28,mei_final,0.9643,0.0714
dace,2019,d0ead9afd209f413f230fd86a913519f,27,28,28,mei_final,0.9643,0.0714
dace,2019,38f152e820fb928eff643119ff3065e3,27,28,28,mei_final,0.9643,0.0714
dace,2019,75104144ff52d221271cae6f3f62d6da,27,28,28,mei_final,0.9643,0.0714
dace,2019,d0ead9afd209f413f230fd86a913519f,27,28,28,mei_final,0.9643,0.0714
dace,2019,fa2ba2403d7df483e9e6aa9166cf6c98,28,28,28,unique_final,1.0,0.0357
dace,2019,fbd1d4fe304a73db4114a58b6bceb7c6,28,28,28,unique_final,1.0,0.0357
