project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
debug-gym,126,66b04388001bce4bddbef876632b1fd9,8,8,8,unique_final,1.0,0.125
debug-gym,129,66b04388001bce4bddbef876632b1fd9,1,3,3,ini_mei_final,0.0,1.0
debug-gym,161,1a9c575a0fbd6068ae35aa804eb1d1b0,7,12,12,mei_final,0.5833,0.5
debug-gym,161,d3f27cdcfd5fc51379ab892f6e408bc8,7,12,12,mei_final,0.5833,0.5
debug-gym,161,49db57fe56a48f9edb096761944220c6,7,12,12,mei_final,0.5833,0.5
debug-gym,161,1a9c575a0fbd6068ae35aa804eb1d1b0,7,12,12,mei_final,0.5833,0.5
debug-gym,161,f788f933742e5c31ed1e26133756306d,7,12,12,mei_final,0.5833,0.5
debug-gym,161,6335f2876fa5ecdc6d0ecf89b27e6069,7,12,12,mei_final,0.5833,0.5
debug-gym,161,1a9c575a0fbd6068ae35aa804eb1d1b0,7,12,12,mei_final,0.5833,0.5
debug-gym,161,49db57fe56a48f9edb096761944220c6,7,12,12,mei_final,0.5833,0.5
debug-gym,161,6335f2876fa5ecdc6d0ecf89b27e6069,7,12,12,mei_final,0.5833,0.5
debug-gym,161,f788f933742e5c31ed1e26133756306d,7,12,12,mei_final,0.5833,0.5
debug-gym,161,d3f27cdcfd5fc51379ab892f6e408bc8,7,12,12,mei_final,0.5833,0.5
debug-gym,161,e9448d85141613bd2a6a2990131acecc,7,12,12,mei_final,0.5833,0.5
debug-gym,161,1a9c575a0fbd6068ae35aa804eb1d1b0,7,12,12,mei_final,0.5833,0.5
debug-gym,161,7a1ca49749ab67855f02a552a8b9b701,7,12,12,mei_final,0.5833,0.5
debug-gym,161,7a1ca49749ab67855f02a552a8b9b701,7,12,12,mei_final,0.5833,0.5
debug-gym,161,e9448d85141613bd2a6a2990131acecc,7,12,12,mei_final,0.5833,0.5
debug-gym,161,d86edb45f0a199187c4cbc2073170cd4,9,12,12,mei_final,0.75,0.3333
debug-gym,161,d86edb45f0a199187c4cbc2073170cd4,9,12,12,mei_final,0.75,0.3333
debug-gym,161,ca14f975642d1a0eb5c9400f724be00c,9,12,12,mei_final,0.75,0.3333
debug-gym,161,ca14f975642d1a0eb5c9400f724be00c,9,12,12,mei_final,0.75,0.3333
debug-gym,161,d86edb45f0a199187c4cbc2073170cd4,9,12,12,mei_final,0.75,0.3333
debug-gym,179,dc7a2609a4d4ad45974941175934638b,2,5,5,mei_final,0.4,0.8
debug-gym,179,8b6135706e4ce6b21d06f89906941897,2,5,5,mei_final,0.4,0.8
debug-gym,179,dc7a2609a4d4ad45974941175934638b,2,5,5,mei_final,0.4,0.8
debug-gym,179,8b6135706e4ce6b21d06f89906941897,2,5,5,mei_final,0.4,0.8
debug-gym,179,d3f27cdcfd5fc51379ab892f6e408bc8,4,5,5,mei_final,0.8,0.4
