project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
fides,6310,8f9c52eb0334f429dde0e4255ea0b837,7,11,11,mei_final,0.6364,0.4545
fides,6310,485b60d06a3effb0753c2a1587826582,7,11,11,mei_final,0.6364,0.4545
fides,6310,8f9c52eb0334f429dde0e4255ea0b837,7,11,11,mei_final,0.6364,0.4545
fides,6310,485b60d06a3effb0753c2a1587826582,7,11,11,mei_final,0.6364,0.4545
fides,6310,839aa8383ae88092f5b0a576bf5834d5,7,11,11,mei_final,0.6364,0.4545
fides,6310,8f9c52eb0334f429dde0e4255ea0b837,7,11,11,mei_final,0.6364,0.4545
fides,6310,538905e48d0f90ef916d3ebed1470c89,7,11,11,mei_final,0.6364,0.4545
fides,6310,992345fad1b2e7c422adcb1fa7fc99d6,7,11,11,mei_final,0.6364,0.4545
fides,6310,839aa8383ae88092f5b0a576bf5834d5,7,11,11,mei_final,0.6364,0.4545
fides,6310,992345fad1b2e7c422adcb1fa7fc99d6,7,11,11,mei_final,0.6364,0.4545
fides,6310,8f9c52eb0334f429dde0e4255ea0b837,7,11,11,mei_final,0.6364,0.4545
fides,6310,992345fad1b2e7c422adcb1fa7fc99d6,7,11,11,mei_final,0.6364,0.4545
fides,6310,485b60d06a3effb0753c2a1587826582,7,11,11,mei_final,0.6364,0.4545
fides,6310,538905e48d0f90ef916d3ebed1470c89,7,11,11,mei_final,0.6364,0.4545
fides,6310,839aa8383ae88092f5b0a576bf5834d5,7,11,11,mei_final,0.6364,0.4545
fides,6310,992345fad1b2e7c422adcb1fa7fc99d6,7,11,11,mei_final,0.6364,0.4545
