project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
flynt,220,cd81c1590e0b93e6a70a0dda05b91c36,2,4,6,mei,0.3333,0.5
flynt,220,cd81c1590e0b93e6a70a0dda05b91c36,2,4,6,mei,0.3333,0.5
flynt,220,b02daf1fd80d6799a82c6d33be70a93d,3,4,6,mei,0.5,0.3333
flynt,220,b02daf1fd80d6799a82c6d33be70a93d,3,4,6,mei,0.5,0.3333
flynt,220,b42e908e68d7c6e64f6fa52e164901e1,5,6,6,mei_final,0.8333,0.3333
flynt,220,cd81c1590e0b93e6a70a0dda05b91c36,5,6,6,mei_final,0.8333,0.3333
flynt,220,cd81c1590e0b93e6a70a0dda05b91c36,5,6,6,mei_final,0.8333,0.3333
flynt,220,b42e908e68d7c6e64f6fa52e164901e1,5,6,6,mei_final,0.8333,0.3333
flynt,226,7cf49da3eb6e71fc0218391367a96768,1,3,6,ini_mei,0.0,0.5
flynt,226,7cf49da3eb6e71fc0218391367a96768,1,6,6,ini_mei_final,0.0,1.0
flynt,226,7cf49da3eb6e71fc0218391367a96768,4,6,6,mei_final,0.6667,0.5
flynt,227,7cf49da3eb6e71fc0218391367a96768,2,2,3,unique_mei,0.6667,0.3333
flynt,227,7cf49da3eb6e71fc0218391367a96768,2,2,3,unique_mei,0.6667,0.3333
flynt,227,7cf49da3eb6e71fc0218391367a96768,2,3,3,mei_final,0.6667,0.6667
flynt,227,7cf49da3eb6e71fc0218391367a96768,3,3,3,unique_final,1.0,0.3333
flynt,227,7cf49da3eb6e71fc0218391367a96768,3,3,3,unique_final,1.0,0.3333
flynt,228,7cf49da3eb6e71fc0218391367a96768,2,2,2,unique_final,1.0,0.5
flynt,228,7cf49da3eb6e71fc0218391367a96768,2,2,2,unique_final,1.0,0.5
flynt,228,7cf49da3eb6e71fc0218391367a96768,2,2,2,unique_final,1.0,0.5
flynt,229,7cf49da3eb6e71fc0218391367a96768,1,2,2,ini_mei_final,0.0,1.0
flynt,239,c915a933209c8b80cbdb1b98f99566ea,1,3,3,ini_mei_final,0.0,1.0
flynt,239,c915a933209c8b80cbdb1b98f99566ea,1,3,3,ini_mei_final,0.0,1.0
flynt,244,6cae3a6381571bbbb62d51b694ab3a1c,1,1,1,ini_mei_final,0.0,1.0
flynt,244,6cae3a6381571bbbb62d51b694ab3a1c,1,1,1,ini_mei_final,0.0,1.0
flynt,244,6cae3a6381571bbbb62d51b694ab3a1c,1,1,1,ini_mei_final,0.0,1.0
