project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
graphrag,1944,8c754d4d59465abed946a339490adf49,5,6,6,mei_final,0.8333,0.3333
graphrag,1944,8c754d4d59465abed946a339490adf49,5,6,6,mei_final,0.8333,0.3333
graphrag,1944,b86ba38d7b4e7064d980b4dc6d066f2a,5,6,6,mei_final,0.8333,0.3333
graphrag,1944,b86ba38d7b4e7064d980b4dc6d066f2a,5,6,6,mei_final,0.8333,0.3333
graphrag,1944,d92463903fb4f6e0b150856d16a800c5,5,6,6,mei_final,0.8333,0.3333
graphrag,1944,d92463903fb4f6e0b150856d16a800c5,5,6,6,mei_final,0.8333,0.3333
graphrag,1956,1aeef52993f2506a9ea5327eb08155b9,10,12,27,mei,0.3704,0.1111
graphrag,1956,1aeef52993f2506a9ea5327eb08155b9,10,12,27,mei,0.3704,0.1111
graphrag,1956,1aeef52993f2506a9ea5327eb08155b9,13,20,27,mei,0.4815,0.2963
graphrag,1956,1aeef52993f2506a9ea5327eb08155b9,13,20,27,mei,0.4815,0.2963
graphrag,1956,6eb2e25a98df5203687dc7faac49323f,21,27,27,mei_final,0.7778,0.2593
graphrag,1956,6eb2e25a98df5203687dc7faac49323f,21,27,27,mei_final,0.7778,0.2593
