project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
graphserver,28,45ba8cc7f9ef855331dd0e564474cfae,1,1,1,ini_mei_final,0.0,1.0
graphserver,29,b1a890df47456339194921c8fe131bf3,1,1,4,unique_ini,0.0,0.25
graphserver,29,131f6b410b7af2ab8945be986b6f65c6,1,1,4,unique_ini,0.0,0.25
graphserver,29,176a16a1b7b9d41a619111669917e974,1,1,4,unique_ini,0.0,0.25
graphserver,29,e2fdd7084eba0670d1ed046991fe0b6e,1,1,4,unique_ini,0.0,0.25
graphserver,29,e2fdd7084eba0670d1ed046991fe0b6e,1,1,4,unique_ini,0.0,0.25
graphserver,29,7513bc8f29a69b78b882a2e010c5d15c,1,1,4,unique_ini,0.0,0.25
graphserver,29,176a16a1b7b9d41a619111669917e974,1,1,4,unique_ini,0.0,0.25
graphserver,29,7513bc8f29a69b78b882a2e010c5d15c,1,1,4,unique_ini,0.0,0.25
graphserver,29,131f6b410b7af2ab8945be986b6f65c6,1,1,4,unique_ini,0.0,0.25
graphserver,29,b9b5e07c3341d7403b54e7d811c21bcb,1,1,4,unique_ini,0.0,0.25
graphserver,29,07fb12361ea8624d29dc2f1d1b64f1fb,1,1,4,unique_ini,0.0,0.25
graphserver,29,84410990eb7fa907457bfc0cf14fe2c2,1,1,4,unique_ini,0.0,0.25
graphserver,29,b1a890df47456339194921c8fe131bf3,1,1,4,unique_ini,0.0,0.25
graphserver,29,e2fdd7084eba0670d1ed046991fe0b6e,2,2,4,unique_mei,0.5,0.25
graphserver,29,176a16a1b7b9d41a619111669917e974,2,2,4,unique_mei,0.5,0.25
graphserver,29,176a16a1b7b9d41a619111669917e974,2,2,4,unique_mei,0.5,0.25
graphserver,29,16f7c36fb07ac0e0177b139e79484a66,2,2,4,unique_mei,0.5,0.25
graphserver,29,7513bc8f29a69b78b882a2e010c5d15c,2,2,4,unique_mei,0.5,0.25
graphserver,29,16f7c36fb07ac0e0177b139e79484a66,2,2,4,unique_mei,0.5,0.25
graphserver,29,7513bc8f29a69b78b882a2e010c5d15c,2,2,4,unique_mei,0.5,0.25
graphserver,29,e2fdd7084eba0670d1ed046991fe0b6e,2,2,4,unique_mei,0.5,0.25
graphserver,29,131f6b410b7af2ab8945be986b6f65c6,2,3,4,mei,0.5,0.5
graphserver,29,131f6b410b7af2ab8945be986b6f65c6,2,3,4,mei,0.5,0.5
graphserver,29,b1a890df47456339194921c8fe131bf3,2,3,4,mei,0.5,0.5
graphserver,29,7513bc8f29a69b78b882a2e010c5d15c,3,3,4,unique_mei,0.75,0.25
graphserver,29,176a16a1b7b9d41a619111669917e974,3,3,4,unique_mei,0.75,0.25
graphserver,29,16f7c36fb07ac0e0177b139e79484a66,3,3,4,unique_mei,0.75,0.25
graphserver,29,e2fdd7084eba0670d1ed046991fe0b6e,3,3,4,unique_mei,0.75,0.25
graphserver,29,16f7c36fb07ac0e0177b139e79484a66,3,3,4,unique_mei,0.75,0.25
graphserver,29,e2fdd7084eba0670d1ed046991fe0b6e,3,3,4,unique_mei,0.75,0.25
graphserver,29,7513bc8f29a69b78b882a2e010c5d15c,3,3,4,unique_mei,0.75,0.25
graphserver,29,16f7c36fb07ac0e0177b139e79484a66,3,3,4,unique_mei,0.75,0.25
graphserver,29,176a16a1b7b9d41a619111669917e974,3,3,4,unique_mei,0.75,0.25
