project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
inference,1306,d5b739fa939db6eda667ac1c4e106c98,1,2,2,ini_mei_final,0.0,1.0
inference,1306,d5b739fa939db6eda667ac1c4e106c98,1,2,2,ini_mei_final,0.0,1.0
inference,1306,d5b739fa939db6eda667ac1c4e106c98,1,2,2,ini_mei_final,0.0,1.0
inference,1306,d5b739fa939db6eda667ac1c4e106c98,1,2,2,ini_mei_final,0.0,1.0
inference,1306,d5b739fa939db6eda667ac1c4e106c98,1,2,2,ini_mei_final,0.0,1.0
inference,1306,6bd5484e16cc7069ee68257d16aa8685,2,2,2,unique_final,1.0,0.5
inference,1306,6bd5484e16cc7069ee68257d16aa8685,2,2,2,unique_final,1.0,0.5
inference,1319,b68479cbb45d125c5da0d7915149c4e3,2,4,4,mei_final,0.5,0.75
inference,1319,b68479cbb45d125c5da0d7915149c4e3,2,4,4,mei_final,0.5,0.75
inference,1350,63462b26e8b103e0c6db47af094813eb,1,9,9,ini_mei_final,0.0,1.0
inference,1350,63462b26e8b103e0c6db47af094813eb,1,9,9,ini_mei_final,0.0,1.0
inference,1350,59bcc138baa05b681c20dc1ec016be06,1,9,9,ini_mei_final,0.0,1.0
inference,1350,59bcc138baa05b681c20dc1ec016be06,1,9,9,ini_mei_final,0.0,1.0
inference,1350,e22a7c0a11b1fbf21a2fe1d4166b3de8,3,9,9,mei_final,0.3333,0.7778
inference,1350,e22a7c0a11b1fbf21a2fe1d4166b3de8,3,9,9,mei_final,0.3333,0.7778
inference,1350,456a333aced0a073a2169a548ae09448,6,9,9,mei_final,0.6667,0.4444
inference,1350,61ced4e9e0f4a309423c2daf0c32c536,6,9,9,mei_final,0.6667,0.4444
inference,1350,2a2d8e161ad80cfa1564872f0f3ae8f7,6,9,9,mei_final,0.6667,0.4444
inference,1350,61ced4e9e0f4a309423c2daf0c32c536,6,9,9,mei_final,0.6667,0.4444
inference,1350,2a2d8e161ad80cfa1564872f0f3ae8f7,6,9,9,mei_final,0.6667,0.4444
inference,1350,61ced4e9e0f4a309423c2daf0c32c536,6,9,9,mei_final,0.6667,0.4444
inference,1350,84ba4e60e2065bc1a61f8b013cf4b937,6,9,9,mei_final,0.6667,0.4444
inference,1350,456a333aced0a073a2169a548ae09448,6,9,9,mei_final,0.6667,0.4444
inference,1350,61ced4e9e0f4a309423c2daf0c32c536,6,9,9,mei_final,0.6667,0.4444
inference,1350,387cf022cf78281229d5accadade224d,6,9,9,mei_final,0.6667,0.4444
inference,1350,84ba4e60e2065bc1a61f8b013cf4b937,6,9,9,mei_final,0.6667,0.4444
inference,1350,387cf022cf78281229d5accadade224d,6,9,9,mei_final,0.6667,0.4444
inference,1364,9cd2d8746888e5d8dbc953e4520a0998,1,3,3,ini_mei_final,0.0,1.0
inference,1364,9cd2d8746888e5d8dbc953e4520a0998,1,3,3,ini_mei_final,0.0,1.0
inference,1364,d822e2b9f826bcd033a02bc925579c54,1,3,3,ini_mei_final,0.0,1.0
inference,1364,c76092d513bc3cc5337246b227ed2908,1,3,3,ini_mei_final,0.0,1.0
inference,1364,c76092d513bc3cc5337246b227ed2908,1,3,3,ini_mei_final,0.0,1.0
inference,1364,d822e2b9f826bcd033a02bc925579c54,1,3,3,ini_mei_final,0.0,1.0
inference,1364,456a333aced0a073a2169a548ae09448,2,3,3,mei_final,0.6667,0.6667
inference,1364,61ced4e9e0f4a309423c2daf0c32c536,2,3,3,mei_final,0.6667,0.6667
inference,1364,2a2d8e161ad80cfa1564872f0f3ae8f7,2,3,3,mei_final,0.6667,0.6667
inference,1364,61ced4e9e0f4a309423c2daf0c32c536,2,3,3,mei_final,0.6667,0.6667
inference,1364,59bcc138baa05b681c20dc1ec016be06,2,3,3,mei_final,0.6667,0.6667
inference,1364,2a2d8e161ad80cfa1564872f0f3ae8f7,2,3,3,mei_final,0.6667,0.6667
inference,1364,61ced4e9e0f4a309423c2daf0c32c536,2,3,3,mei_final,0.6667,0.6667
inference,1364,84ba4e60e2065bc1a61f8b013cf4b937,2,3,3,mei_final,0.6667,0.6667
inference,1364,63462b26e8b103e0c6db47af094813eb,2,3,3,mei_final,0.6667,0.6667
inference,1364,61ced4e9e0f4a309423c2daf0c32c536,2,3,3,mei_final,0.6667,0.6667
inference,1364,456a333aced0a073a2169a548ae09448,2,3,3,mei_final,0.6667,0.6667
inference,1364,63462b26e8b103e0c6db47af094813eb,2,3,3,mei_final,0.6667,0.6667
inference,1364,387cf022cf78281229d5accadade224d,2,3,3,mei_final,0.6667,0.6667
inference,1364,84ba4e60e2065bc1a61f8b013cf4b937,2,3,3,mei_final,0.6667,0.6667
inference,1364,387cf022cf78281229d5accadade224d,2,3,3,mei_final,0.6667,0.6667
inference,1364,59bcc138baa05b681c20dc1ec016be06,2,3,3,mei_final,0.6667,0.6667
