project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
instructor,1726,758ed1285c086c1a15606dcab3f1428d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,b7fbf7672d7028a87458e3a810354148,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,b7fbf7672d7028a87458e3a810354148,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,758ed1285c086c1a15606dcab3f1428d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,c824e64773ef86fee726cc463886b290,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,c824e64773ef86fee726cc463886b290,1,1,1,ini_mei_final,0.0,1.0
instructor,1726,70d8170ebb39fbd892a55784afbadd2d,1,1,1,ini_mei_final,0.0,1.0
