project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
keep,5002,b6a4e475b1d4666f9f6fbbd0fc84ce8d,15,16,26,mei,0.5769,0.0769
keep,5002,b6a4e475b1d4666f9f6fbbd0fc84ce8d,15,16,26,mei,0.5769,0.0769
keep,5002,b6a4e475b1d4666f9f6fbbd0fc84ce8d,15,16,26,mei,0.5769,0.0769
keep,5002,b2d37961d4ba716cd91f2cc8e353d00d,16,16,26,unique_mei,0.6154,0.0385
keep,5002,7ef43f08b1c09023cc6a32beecf5dd6d,16,16,26,unique_mei,0.6154,0.0385
keep,5002,06c78f3d975254f0bb4bd3b639dd9348,9,26,26,mei_final,0.3462,0.6923
keep,5002,9957bdd07cd107753340ac1fb94b1a81,9,26,26,mei_final,0.3462,0.6923
keep,5002,b8fda27d11c5408f38f1538f3a36cf23,9,26,26,mei_final,0.3462,0.6923
keep,5002,c2fd3871d6d64b66d6b3e29a1e9d3893,9,26,26,mei_final,0.3462,0.6923
keep,5002,b2d37961d4ba716cd91f2cc8e353d00d,17,26,26,mei_final,0.6538,0.3846
keep,5002,7ef43f08b1c09023cc6a32beecf5dd6d,17,26,26,mei_final,0.6538,0.3846
keep,5002,a046d760d4606ecc32186b98b8a1dca8,20,26,26,mei_final,0.7692,0.2692
keep,5002,a046d760d4606ecc32186b98b8a1dca8,20,26,26,mei_final,0.7692,0.2692
keep,5002,2ad537708fb8dff1fcca899ce345b35c,24,26,26,mei_final,0.9231,0.1154
keep,5002,2ad537708fb8dff1fcca899ce345b35c,24,26,26,mei_final,0.9231,0.1154
keep,5002,2ad537708fb8dff1fcca899ce345b35c,24,26,26,mei_final,0.9231,0.1154
keep,5015,a046d760d4606ecc32186b98b8a1dca8,1,3,3,ini_mei_final,0.0,1.0
keep,5015,a046d760d4606ecc32186b98b8a1dca8,1,3,3,ini_mei_final,0.0,1.0
keep,5074,04420c2453e034f7bf13445ddde58d1e,4,4,4,unique_final,1.0,0.25
keep,5074,4ca8ebeff47829f8515ea4fdf8068086,4,4,4,unique_final,1.0,0.25
keep,5074,fb682a92c8ae52ecc550266568c95c0b,4,4,4,unique_final,1.0,0.25
keep,5074,fb682a92c8ae52ecc550266568c95c0b,4,4,4,unique_final,1.0,0.25
keep,5074,04420c2453e034f7bf13445ddde58d1e,4,4,4,unique_final,1.0,0.25
keep,5074,04420c2453e034f7bf13445ddde58d1e,4,4,4,unique_final,1.0,0.25
keep,5074,4ca8ebeff47829f8515ea4fdf8068086,4,4,4,unique_final,1.0,0.25
keep,5101,4ca8ebeff47829f8515ea4fdf8068086,1,2,2,ini_mei_final,0.0,1.0
keep,5101,4ca8ebeff47829f8515ea4fdf8068086,1,2,2,ini_mei_final,0.0,1.0
keep,5101,fb682a92c8ae52ecc550266568c95c0b,1,2,2,ini_mei_final,0.0,1.0
keep,5101,fb682a92c8ae52ecc550266568c95c0b,1,2,2,ini_mei_final,0.0,1.0
keep,5113,c137f0c109c942638025081030e94ec5,4,5,5,mei_final,0.8,0.4
keep,5113,c137f0c109c942638025081030e94ec5,4,5,5,mei_final,0.8,0.4
keep,5113,93c4d56290302dcb8b3ac17d2c71dffc,4,5,5,mei_final,0.8,0.4
keep,5113,c137f0c109c942638025081030e94ec5,4,5,5,mei_final,0.8,0.4
keep,5113,93c4d56290302dcb8b3ac17d2c71dffc,4,5,5,mei_final,0.8,0.4
