project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
levanter,1018,50fb79af301b813d693143b3f29daca7,1,1,1,ini_mei_final,0.0,1.0
levanter,1018,e6fa6d66917e694f1c827531b2898f4e,1,1,1,ini_mei_final,0.0,1.0
levanter,1018,5214b22c293e9132be9d80c04342ef63,1,1,1,ini_mei_final,0.0,1.0
levanter,1018,dec9784963c2c09b003314ae68bb574a,1,1,1,ini_mei_final,0.0,1.0
levanter,1018,5214b22c293e9132be9d80c04342ef63,1,1,1,ini_mei_final,0.0,1.0
levanter,1018,dec9784963c2c09b003314ae68bb574a,1,1,1,ini_mei_final,0.0,1.0
levanter,1018,e6fa6d66917e694f1c827531b2898f4e,1,1,1,ini_mei_final,0.0,1.0
levanter,1018,50fb79af301b813d693143b3f29daca7,1,1,1,ini_mei_final,0.0,1.0
levanter,1026,e6fa6d66917e694f1c827531b2898f4e,1,1,1,ini_mei_final,0.0,1.0
levanter,1026,dec9784963c2c09b003314ae68bb574a,1,1,1,ini_mei_final,0.0,1.0
