project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
litellm,12551,7028fd651e35123cc1bb207753bce80c,1,1,11,unique_ini,0.0,0.0909
litellm,12551,a577f98cf168f9397a18dec01f29caeb,1,1,11,unique_ini,0.0,0.0909
litellm,12551,a577f98cf168f9397a18dec01f29caeb,1,7,11,ini_mei,0.0,0.6364
litellm,12551,a577f98cf168f9397a18dec01f29caeb,1,7,11,ini_mei,0.0,0.6364
litellm,12551,a577f98cf168f9397a18dec01f29caeb,1,7,11,ini_mei,0.0,0.6364
litellm,12551,a577f98cf168f9397a18dec01f29caeb,2,7,11,mei,0.1818,0.5455
litellm,12551,dfa1a21b37ec7a6955469a326064963f,8,8,11,unique_mei,0.7273,0.0909
litellm,12551,dfa1a21b37ec7a6955469a326064963f,8,8,11,unique_mei,0.7273,0.0909
litellm,12551,dfa1a21b37ec7a6955469a326064963f,8,8,11,unique_mei,0.7273,0.0909
litellm,12551,dfa1a21b37ec7a6955469a326064963f,8,8,11,unique_mei,0.7273,0.0909
litellm,12551,7028fd651e35123cc1bb207753bce80c,1,11,11,ini_mei_final,0.0,1.0
litellm,12551,7028fd651e35123cc1bb207753bce80c,1,11,11,ini_mei_final,0.0,1.0
litellm,12551,7028fd651e35123cc1bb207753bce80c,1,11,11,ini_mei_final,0.0,1.0
litellm,12551,7028fd651e35123cc1bb207753bce80c,1,11,11,ini_mei_final,0.0,1.0
litellm,12551,7028fd651e35123cc1bb207753bce80c,2,11,11,mei_final,0.1818,0.9091
litellm,12551,bf0e02106f1c574af9391a5016c8d8ba,9,11,11,mei_final,0.8182,0.2727
litellm,12551,bf0e02106f1c574af9391a5016c8d8ba,9,11,11,mei_final,0.8182,0.2727
litellm,12551,bf0e02106f1c574af9391a5016c8d8ba,9,11,11,mei_final,0.8182,0.2727
litellm,12551,53933a26d1ded0728a9be76bc6b27774,10,11,11,mei_final,0.9091,0.1818
