project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
marimo,3479,7b087e78fea0c85602636e1606dfa44d,1,2,2,ini_mei_final,0.0,1.0
marimo,3479,7b087e78fea0c85602636e1606dfa44d,1,2,2,ini_mei_final,0.0,1.0
marimo,3479,7b087e78fea0c85602636e1606dfa44d,1,2,2,ini_mei_final,0.0,1.0
marimo,3479,667f20b89636584a67c739b0d85d0dfd,1,2,2,ini_mei_final,0.0,1.0
marimo,3479,7b087e78fea0c85602636e1606dfa44d,1,2,2,ini_mei_final,0.0,1.0
marimo,3479,667f20b89636584a67c739b0d85d0dfd,1,2,2,ini_mei_final,0.0,1.0
marimo,3591,e6f355b3d5da56e5b4047dbf83edef2f,3,4,4,mei_final,0.75,0.5
marimo,3591,439c81cfa75e5cccded00fec6a2499db,3,4,4,mei_final,0.75,0.5
marimo,3591,e6f355b3d5da56e5b4047dbf83edef2f,3,4,4,mei_final,0.75,0.5
marimo,3591,439c81cfa75e5cccded00fec6a2499db,3,4,4,mei_final,0.75,0.5
marimo,4008,79d74acbcfcec46dab1d1438478d7aca,1,1,2,unique_ini,0.0,0.5
marimo,4008,79d74acbcfcec46dab1d1438478d7aca,1,1,2,unique_ini,0.0,0.5
marimo,4008,29f2fb852597c85f43b168182d6749fd,1,1,2,unique_ini,0.0,0.5
marimo,4008,79d74acbcfcec46dab1d1438478d7aca,1,1,2,unique_ini,0.0,0.5
marimo,4008,29f2fb852597c85f43b168182d6749fd,1,1,2,unique_ini,0.0,0.5
marimo,4008,c21f1c373e1382a7e6191b91ea99eefd,1,2,2,ini_mei_final,0.0,1.0
marimo,4008,c21f1c373e1382a7e6191b91ea99eefd,1,2,2,ini_mei_final,0.0,1.0
marimo,4008,9867bd3db975c5219545bc557faa5a96,2,2,2,unique_final,1.0,0.5
marimo,4008,29f2fb852597c85f43b168182d6749fd,2,2,2,unique_final,1.0,0.5
marimo,4008,79d74acbcfcec46dab1d1438478d7aca,2,2,2,unique_final,1.0,0.5
marimo,4008,9867bd3db975c5219545bc557faa5a96,2,2,2,unique_final,1.0,0.5
marimo,4008,79d74acbcfcec46dab1d1438478d7aca,2,2,2,unique_final,1.0,0.5
marimo,4008,9867bd3db975c5219545bc557faa5a96,2,2,2,unique_final,1.0,0.5
marimo,4008,29f2fb852597c85f43b168182d6749fd,2,2,2,unique_final,1.0,0.5
marimo,4008,79d74acbcfcec46dab1d1438478d7aca,2,2,2,unique_final,1.0,0.5
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,1,1,5,unique_ini,0.0,0.2
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,1,1,5,unique_ini,0.0,0.2
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,2,2,5,unique_mei,0.4,0.2
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,2,2,5,unique_mei,0.4,0.2
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,3,3,5,unique_mei,0.6,0.2
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,3,3,5,unique_mei,0.6,0.2
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,4,5,5,mei_final,0.8,0.4
marimo,4033,d5c9c41ee96c7be7ba6609b5613ef197,4,5,5,mei_final,0.8,0.4
