project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
meta-agent,67,b56a4d6e760d2b1a1d1c01b81dfe898a,1,1,1,ini_mei_final,0.0,1.0
meta-agent,67,b56a4d6e760d2b1a1d1c01b81dfe898a,1,1,1,ini_mei_final,0.0,1.0
meta-agent,69,a73edf4648199fc8599cb4918fcc319b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,69,a73edf4648199fc8599cb4918fcc319b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,71,a73edf4648199fc8599cb4918fcc319b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,71,a73edf4648199fc8599cb4918fcc319b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,72,a73edf4648199fc8599cb4918fcc319b,1,2,2,ini_mei_final,0.0,1.0
meta-agent,72,a73edf4648199fc8599cb4918fcc319b,1,2,2,ini_mei_final,0.0,1.0
meta-agent,115,4b5be94acfc517caa580fda57200453b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,115,4b5be94acfc517caa580fda57200453b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,117,21ff3b8f4317bfd2e49ded2cc2f0c779,1,1,1,ini_mei_final,0.0,1.0
meta-agent,117,21ff3b8f4317bfd2e49ded2cc2f0c779,1,1,1,ini_mei_final,0.0,1.0
meta-agent,119,21ff3b8f4317bfd2e49ded2cc2f0c779,1,2,2,ini_mei_final,0.0,1.0
meta-agent,119,21ff3b8f4317bfd2e49ded2cc2f0c779,1,2,2,ini_mei_final,0.0,1.0
meta-agent,122,4b5be94acfc517caa580fda57200453b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,122,4b5be94acfc517caa580fda57200453b,1,1,1,ini_mei_final,0.0,1.0
meta-agent,132,8c7803138db2e91e531200387f40ce92,1,1,1,ini_mei_final,0.0,1.0
meta-agent,132,8c7803138db2e91e531200387f40ce92,1,1,1,ini_mei_final,0.0,1.0
meta-agent,137,8c7803138db2e91e531200387f40ce92,1,1,1,ini_mei_final,0.0,1.0
meta-agent,139,8c7803138db2e91e531200387f40ce92,1,1,1,ini_mei_final,0.0,1.0
meta-agent,140,8c7803138db2e91e531200387f40ce92,1,2,2,ini_mei_final,0.0,1.0
meta-agent,143,add51edac4444360c57f6411d84b9ecd,1,1,1,ini_mei_final,0.0,1.0
meta-agent,143,add51edac4444360c57f6411d84b9ecd,1,1,1,ini_mei_final,0.0,1.0
meta-agent,143,add51edac4444360c57f6411d84b9ecd,1,1,1,ini_mei_final,0.0,1.0
meta-agent,143,add51edac4444360c57f6411d84b9ecd,1,1,1,ini_mei_final,0.0,1.0
meta-agent,143,add51edac4444360c57f6411d84b9ecd,1,1,1,ini_mei_final,0.0,1.0
meta-agent,152,44fe9d0a1d96720d95d00cf560334ec3,1,1,1,ini_mei_final,0.0,1.0
meta-agent,152,44fe9d0a1d96720d95d00cf560334ec3,1,1,1,ini_mei_final,0.0,1.0
meta-agent,152,44fe9d0a1d96720d95d00cf560334ec3,1,1,1,ini_mei_final,0.0,1.0
meta-agent,152,44fe9d0a1d96720d95d00cf560334ec3,1,1,1,ini_mei_final,0.0,1.0
meta-agent,168,494e70d76546735e3753b3e73f081bab,1,1,1,ini_mei_final,0.0,1.0
meta-agent,168,494e70d76546735e3753b3e73f081bab,1,1,1,ini_mei_final,0.0,1.0
meta-agent,175,ab9ea42a5553ba4c11fc5069ace45faf,1,1,1,ini_mei_final,0.0,1.0
meta-agent,175,ab9ea42a5553ba4c11fc5069ace45faf,1,1,1,ini_mei_final,0.0,1.0
meta-agent,175,ab9ea42a5553ba4c11fc5069ace45faf,1,1,1,ini_mei_final,0.0,1.0
meta-agent,175,ab9ea42a5553ba4c11fc5069ace45faf,1,1,1,ini_mei_final,0.0,1.0
