project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
mlflow,15839,0dbfe38d46c2a3dcf5feee9ca6e2b496,1,3,13,ini_mei,0.0,0.2308
mlflow,15839,0dbfe38d46c2a3dcf5feee9ca6e2b496,1,3,13,ini_mei,0.0,0.2308
mlflow,15839,0dbfe38d46c2a3dcf5feee9ca6e2b496,1,3,13,ini_mei,0.0,0.2308
mlflow,15839,70a51cbd3deab86b299653f8c9099201,2,3,13,mei,0.1538,0.1538
mlflow,15839,70a51cbd3deab86b299653f8c9099201,2,3,13,mei,0.1538,0.1538
mlflow,15839,70a51cbd3deab86b299653f8c9099201,2,3,13,mei,0.1538,0.1538
mlflow,15839,70a51cbd3deab86b299653f8c9099201,4,4,13,unique_mei,0.3077,0.0769
mlflow,15839,0dbfe38d46c2a3dcf5feee9ca6e2b496,4,4,13,unique_mei,0.3077,0.0769
mlflow,15839,0dbfe38d46c2a3dcf5feee9ca6e2b496,4,4,13,unique_mei,0.3077,0.0769
mlflow,15839,70a51cbd3deab86b299653f8c9099201,4,4,13,unique_mei,0.3077,0.0769
mlflow,15839,70a51cbd3deab86b299653f8c9099201,4,4,13,unique_mei,0.3077,0.0769
mlflow,15839,0dbfe38d46c2a3dcf5feee9ca6e2b496,4,4,13,unique_mei,0.3077,0.0769
mlflow,15839,b141356182967a02b7e07e295cff4c52,5,5,13,unique_mei,0.3846,0.0769
mlflow,15839,b141356182967a02b7e07e295cff4c52,5,5,13,unique_mei,0.3846,0.0769
mlflow,15839,b141356182967a02b7e07e295cff4c52,5,5,13,unique_mei,0.3846,0.0769
mlflow,15839,b141356182967a02b7e07e295cff4c52,5,5,13,unique_mei,0.3846,0.0769
mlflow,15839,b141356182967a02b7e07e295cff4c52,5,5,13,unique_mei,0.3846,0.0769
mlflow,15839,b141356182967a02b7e07e295cff4c52,5,5,13,unique_mei,0.3846,0.0769
mlflow,15839,1e1fa137fa1776c5adbb663b6706967f,6,6,13,unique_mei,0.4615,0.0769
mlflow,15839,1e1fa137fa1776c5adbb663b6706967f,6,6,13,unique_mei,0.4615,0.0769
mlflow,15839,1e1fa137fa1776c5adbb663b6706967f,6,6,13,unique_mei,0.4615,0.0769
mlflow,15839,1e1fa137fa1776c5adbb663b6706967f,6,6,13,unique_mei,0.4615,0.0769
mlflow,15856,eb4d29888a05d5446a1faffb4300d4e8,4,7,8,mei,0.5,0.5
mlflow,15856,a9de67b4ce3baec74d0a2c64d968d609,4,7,8,mei,0.5,0.5
mlflow,15856,a9de67b4ce3baec74d0a2c64d968d609,4,7,8,mei,0.5,0.5
mlflow,15856,eb4d29888a05d5446a1faffb4300d4e8,4,7,8,mei,0.5,0.5
mlflow,15856,2db4fc939dacdd0b961841a5d283eca8,4,8,8,mei_final,0.5,0.625
mlflow,15856,2db4fc939dacdd0b961841a5d283eca8,4,8,8,mei_final,0.5,0.625
