project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
numbagg,384,d03e8f175fa9aecc5dd1f18d20b44dbd,1,2,6,ini_mei,0.0,0.3333
numbagg,384,d03e8f175fa9aecc5dd1f18d20b44dbd,1,2,6,ini_mei,0.0,0.3333
numbagg,384,ac5465023cf667b874edf7d82707d3a7,1,6,6,ini_mei_final,0.0,1.0
numbagg,384,ac5465023cf667b874edf7d82707d3a7,1,6,6,ini_mei_final,0.0,1.0
numbagg,384,b3a399ed1a43c693b674864c0be89da5,1,6,6,ini_mei_final,0.0,1.0
numbagg,384,b3a399ed1a43c693b674864c0be89da5,1,6,6,ini_mei_final,0.0,1.0
numbagg,384,d03e8f175fa9aecc5dd1f18d20b44dbd,3,6,6,mei_final,0.5,0.6667
numbagg,384,d03e8f175fa9aecc5dd1f18d20b44dbd,3,6,6,mei_final,0.5,0.6667
numbagg,391,c872fba7e7c03f0467ddb0d3f11929dc,1,1,1,ini_mei_final,0.0,1.0
numbagg,391,c872fba7e7c03f0467ddb0d3f11929dc,1,1,1,ini_mei_final,0.0,1.0
numbagg,394,e8426b8cface869fc6a1272a39fcca61,1,1,1,ini_mei_final,0.0,1.0
numbagg,394,e8426b8cface869fc6a1272a39fcca61,1,1,1,ini_mei_final,0.0,1.0
