project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,59fa06e32646b4a6f1d25045a6ae7f18,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,59fa06e32646b4a6f1d25045a6ae7f18,3,4,4,mei_final,0.75,0.5
onnx,7109,b318f37f7de4cd90c0b9b891c757b92d,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,688bd1b413b432cc0d3f0fcac8f2728c,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,d0cf5cffe321f2081a22e53c2ad8f243,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,b318f37f7de4cd90c0b9b891c757b92d,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,b318f37f7de4cd90c0b9b891c757b92d,3,4,4,mei_final,0.75,0.5
onnx,7109,b318f37f7de4cd90c0b9b891c757b92d,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,b318f37f7de4cd90c0b9b891c757b92d,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,688bd1b413b432cc0d3f0fcac8f2728c,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,c15e0852eb63aa1f7e50a6cd3fa7d739,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7109,576ec56c4467b9c060db6770c7b9874b,3,4,4,mei_final,0.75,0.5
onnx,7109,b318f37f7de4cd90c0b9b891c757b92d,3,4,4,mei_final,0.75,0.5
onnx,7109,b318f37f7de4cd90c0b9b891c757b92d,3,4,4,mei_final,0.75,0.5
onnx,7109,696025d5dbcf82d3051986166a76dc33,3,4,4,mei_final,0.75,0.5
onnx,7112,b318f37f7de4cd90c0b9b891c757b92d,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,59fa06e32646b4a6f1d25045a6ae7f18,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,59fa06e32646b4a6f1d25045a6ae7f18,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,688bd1b413b432cc0d3f0fcac8f2728c,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,576ec56c4467b9c060db6770c7b9874b,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,688bd1b413b432cc0d3f0fcac8f2728c,10,17,17,mei_final,0.5882,0.4706
onnx,7112,b318f37f7de4cd90c0b9b891c757b92d,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,c15e0852eb63aa1f7e50a6cd3fa7d739,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
onnx,7112,696025d5dbcf82d3051986166a76dc33,10,17,17,mei_final,0.5882,0.4706
