project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
posthog,35081,60185943f6dea19c55fb8f3fea5fcb0b,2,2,2,unique_final,1.0,0.5
posthog,35081,60185943f6dea19c55fb8f3fea5fcb0b,2,2,2,unique_final,1.0,0.5
posthog,35081,1c388d28eef458f00aecc06c1ccec7d6,2,2,2,unique_final,1.0,0.5
posthog,35081,d0f118a580ae76a7691e9b382d18a1f7,2,2,2,unique_final,1.0,0.5
posthog,35081,0b9d20e236891015517254a509d3b885,2,2,2,unique_final,1.0,0.5
posthog,35081,ab4cf306bcb86974e2c4635b005cd1e0,2,2,2,unique_final,1.0,0.5
posthog,35081,1c388d28eef458f00aecc06c1ccec7d6,2,2,2,unique_final,1.0,0.5
posthog,35081,cd9b3e2c00a85f95d9367409c82078ae,2,2,2,unique_final,1.0,0.5
posthog,35081,09c64cf1e2f4317e0eb7e11747fb9ae3,2,2,2,unique_final,1.0,0.5
posthog,35081,1c388d28eef458f00aecc06c1ccec7d6,2,2,2,unique_final,1.0,0.5
posthog,35081,9eeed8397108d99f2375abc284735e5a,2,2,2,unique_final,1.0,0.5
posthog,35081,5e393a2bbaa3caa8fecb35adae221b1b,2,2,2,unique_final,1.0,0.5
posthog,35081,ab4cf306bcb86974e2c4635b005cd1e0,2,2,2,unique_final,1.0,0.5
posthog,35081,19963c9be56fe7b5c9493f992988e4bc,2,2,2,unique_final,1.0,0.5
