project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
pylabrobot,549,daaa359386769f0cf4cc2b49a4795190,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,2badcc7d48eccd31261aff1637037b05,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,2badcc7d48eccd31261aff1637037b05,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,549,bfdd060abf652811758f1e30f9ac9d15,3,4,4,mei_final,0.75,0.5
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,1,4,5,ini_mei,0.0,0.8
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
pylabrobot,551,bfdd060abf652811758f1e30f9ac9d15,5,5,5,unique_final,1.0,0.2
