project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
python-hl7,71,f804be3f163b696092d08d739e244157,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,c0013cd2ec2ce542aa3634d0f42d7fa0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,3afc7b379f5d3387f691599244a135a0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,c0013cd2ec2ce542aa3634d0f42d7fa0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,e0572cc20ee5f93eac2320835a19c81f,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,f804be3f163b696092d08d739e244157,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,c0013cd2ec2ce542aa3634d0f42d7fa0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,3afc7b379f5d3387f691599244a135a0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,8fadcb43c97cb920b1e7c32c5dc866c9,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,c3d52eb77f5ee748637745aff1a0d868,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,c3d52eb77f5ee748637745aff1a0d868,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,3afc7b379f5d3387f691599244a135a0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,f804be3f163b696092d08d739e244157,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,f804be3f163b696092d08d739e244157,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,3afc7b379f5d3387f691599244a135a0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,c0013cd2ec2ce542aa3634d0f42d7fa0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,f804be3f163b696092d08d739e244157,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,f804be3f163b696092d08d739e244157,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,3afc7b379f5d3387f691599244a135a0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,3afc7b379f5d3387f691599244a135a0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,c0013cd2ec2ce542aa3634d0f42d7fa0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,f804be3f163b696092d08d739e244157,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,e0572cc20ee5f93eac2320835a19c81f,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,3afc7b379f5d3387f691599244a135a0,1,1,1,ini_mei_final,0.0,1.0
python-hl7,71,8fadcb43c97cb920b1e7c32c5dc866c9,1,1,1,ini_mei_final,0.0,1.0
python-hl7,74,4330339c5f45d1726ba11ad61add37de,1,1,1,ini_mei_final,0.0,1.0
python-hl7,74,4330339c5f45d1726ba11ad61add37de,1,1,1,ini_mei_final,0.0,1.0
python-hl7,80,a617b4bce25238878cc9eb2c598ec0da,1,1,1,ini_mei_final,0.0,1.0
python-hl7,80,a617b4bce25238878cc9eb2c598ec0da,1,1,1,ini_mei_final,0.0,1.0
