project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
serena,264,767f53688e3936ebb2baac11a6158f06,2,4,13,mei,0.1538,0.2308
serena,264,576f31dff0ad9a31153961c88dde98d9,2,4,13,mei,0.1538,0.2308
serena,264,717159e31d89b0bec59993ba4c8e394f,5,11,13,mei,0.3846,0.5385
serena,264,a8abe9455e41dd166014dda5cc906fe5,2,13,13,mei_final,0.1538,0.9231
serena,264,a8abe9455e41dd166014dda5cc906fe5,2,13,13,mei_final,0.1538,0.9231
serena,264,1fcccbf916f156c8a96fe78d67e3a0e3,2,13,13,mei_final,0.1538,0.9231
serena,264,576f31dff0ad9a31153961c88dde98d9,2,13,13,mei_final,0.1538,0.9231
serena,264,1fcccbf916f156c8a96fe78d67e3a0e3,2,13,13,mei_final,0.1538,0.9231
serena,264,d08fcf6517456bd3dc11afdd41a46d84,2,13,13,mei_final,0.1538,0.9231
serena,264,2fd4b1e631d83b60c665ecbbf44dfe97,2,13,13,mei_final,0.1538,0.9231
serena,264,6167634f4e78e1d71ee9e9c4a4965422,2,13,13,mei_final,0.1538,0.9231
serena,264,a8abe9455e41dd166014dda5cc906fe5,2,13,13,mei_final,0.1538,0.9231
serena,264,f1699bb1649a7869c3fc32270829bf7e,2,13,13,mei_final,0.1538,0.9231
serena,264,576f31dff0ad9a31153961c88dde98d9,2,13,13,mei_final,0.1538,0.9231
serena,264,2fd4b1e631d83b60c665ecbbf44dfe97,2,13,13,mei_final,0.1538,0.9231
serena,264,576f31dff0ad9a31153961c88dde98d9,2,13,13,mei_final,0.1538,0.9231
serena,264,1fcccbf916f156c8a96fe78d67e3a0e3,2,13,13,mei_final,0.1538,0.9231
serena,264,767f53688e3936ebb2baac11a6158f06,2,13,13,mei_final,0.1538,0.9231
serena,264,a8abe9455e41dd166014dda5cc906fe5,2,13,13,mei_final,0.1538,0.9231
serena,264,d08fcf6517456bd3dc11afdd41a46d84,2,13,13,mei_final,0.1538,0.9231
serena,264,1fcccbf916f156c8a96fe78d67e3a0e3,2,13,13,mei_final,0.1538,0.9231
serena,264,f1699bb1649a7869c3fc32270829bf7e,2,13,13,mei_final,0.1538,0.9231
serena,264,767f53688e3936ebb2baac11a6158f06,2,13,13,mei_final,0.1538,0.9231
serena,264,2fd4b1e631d83b60c665ecbbf44dfe97,2,13,13,mei_final,0.1538,0.9231
serena,264,f1699bb1649a7869c3fc32270829bf7e,2,13,13,mei_final,0.1538,0.9231
serena,264,a8abe9455e41dd166014dda5cc906fe5,2,13,13,mei_final,0.1538,0.9231
serena,264,6167634f4e78e1d71ee9e9c4a4965422,2,13,13,mei_final,0.1538,0.9231
serena,264,6167634f4e78e1d71ee9e9c4a4965422,2,13,13,mei_final,0.1538,0.9231
serena,264,a19aafa80170646ef487cca5475d5001,3,13,13,mei_final,0.2308,0.8462
serena,264,3068b1ce74c5f13d60b9bf65b57b1656,3,13,13,mei_final,0.2308,0.8462
serena,264,576f31dff0ad9a31153961c88dde98d9,3,13,13,mei_final,0.2308,0.8462
serena,264,a8abe9455e41dd166014dda5cc906fe5,3,13,13,mei_final,0.2308,0.8462
serena,264,3068b1ce74c5f13d60b9bf65b57b1656,3,13,13,mei_final,0.2308,0.8462
serena,264,a19aafa80170646ef487cca5475d5001,3,13,13,mei_final,0.2308,0.8462
serena,264,320e53682a8428c3357a4ae093df0891,3,13,13,mei_final,0.2308,0.8462
serena,264,320e53682a8428c3357a4ae093df0891,3,13,13,mei_final,0.2308,0.8462
serena,264,717159e31d89b0bec59993ba4c8e394f,5,13,13,mei_final,0.3846,0.6923
serena,264,576f31dff0ad9a31153961c88dde98d9,5,13,13,mei_final,0.3846,0.6923
serena,264,767f53688e3936ebb2baac11a6158f06,5,13,13,mei_final,0.3846,0.6923
serena,264,717159e31d89b0bec59993ba4c8e394f,12,13,13,mei_final,0.9231,0.1538
serena,286,576f31dff0ad9a31153961c88dde98d9,1,1,1,ini_mei_final,0.0,1.0
serena,286,576f31dff0ad9a31153961c88dde98d9,1,1,1,ini_mei_final,0.0,1.0
serena,286,767f53688e3936ebb2baac11a6158f06,1,1,1,ini_mei_final,0.0,1.0
serena,286,767f53688e3936ebb2baac11a6158f06,1,1,1,ini_mei_final,0.0,1.0
serena,286,a8abe9455e41dd166014dda5cc906fe5,1,1,1,ini_mei_final,0.0,1.0
serena,286,a8abe9455e41dd166014dda5cc906fe5,1,1,1,ini_mei_final,0.0,1.0
serena,286,576f31dff0ad9a31153961c88dde98d9,1,1,1,ini_mei_final,0.0,1.0
serena,286,1fcccbf916f156c8a96fe78d67e3a0e3,1,1,1,ini_mei_final,0.0,1.0
serena,286,a8abe9455e41dd166014dda5cc906fe5,1,1,1,ini_mei_final,0.0,1.0
serena,286,a8abe9455e41dd166014dda5cc906fe5,1,1,1,ini_mei_final,0.0,1.0
serena,286,1fcccbf916f156c8a96fe78d67e3a0e3,1,1,1,ini_mei_final,0.0,1.0
serena,286,d08fcf6517456bd3dc11afdd41a46d84,1,1,1,ini_mei_final,0.0,1.0
serena,286,6167634f4e78e1d71ee9e9c4a4965422,1,1,1,ini_mei_final,0.0,1.0
serena,286,d08fcf6517456bd3dc11afdd41a46d84,1,1,1,ini_mei_final,0.0,1.0
serena,286,767f53688e3936ebb2baac11a6158f06,1,1,1,ini_mei_final,0.0,1.0
serena,286,576f31dff0ad9a31153961c88dde98d9,1,1,1,ini_mei_final,0.0,1.0
