project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
vllm,21146,2ba4d4bbbb10b10ef1eee1ed2623cc5d,4,4,6,unique_mei,0.6667,0.1667
vllm,21146,62eed69259087ebd23d42a023a27dc75,4,4,6,unique_mei,0.6667,0.1667
vllm,21146,1d31b5de6eedf421c7e224a9bd294084,4,4,6,unique_mei,0.6667,0.1667
vllm,21146,62eed69259087ebd23d42a023a27dc75,4,4,6,unique_mei,0.6667,0.1667
vllm,21146,1d31b5de6eedf421c7e224a9bd294084,4,4,6,unique_mei,0.6667,0.1667
vllm,21146,2ba4d4bbbb10b10ef1eee1ed2623cc5d,4,4,6,unique_mei,0.6667,0.1667
vllm,21146,ce21a01e5acd99317964eae21110317a,4,6,6,mei_final,0.6667,0.5
vllm,21146,81665ced4f8c195ffe55a86c342f7394,4,6,6,mei_final,0.6667,0.5
vllm,21146,81665ced4f8c195ffe55a86c342f7394,4,6,6,mei_final,0.6667,0.5
vllm,21146,7811b712100df7fdf0d6d31c337e653e,4,6,6,mei_final,0.6667,0.5
vllm,21146,f617fc36dc7522ea24f5d951e0595bc2,4,6,6,mei_final,0.6667,0.5
vllm,21146,ce21a01e5acd99317964eae21110317a,4,6,6,mei_final,0.6667,0.5
vllm,21146,c0f0a0b8d6eebde3fe430dea5cd67cd6,4,6,6,mei_final,0.6667,0.5
vllm,21146,992ba7ff38a76cdfbd4952e0bf34abb7,4,6,6,mei_final,0.6667,0.5
vllm,21146,5a6bb00ac517ec6d7d3b2cca6f50205e,4,6,6,mei_final,0.6667,0.5
vllm,21146,5d4e83d388346413b3d0480104e4746f,4,6,6,mei_final,0.6667,0.5
vllm,21146,9aea939b1deb446fa0ab209815001235,4,6,6,mei_final,0.6667,0.5
vllm,21146,299ef6cce632033b27d64742243fc90f,4,6,6,mei_final,0.6667,0.5
vllm,21146,2b4ac22a39f0f1092bf60974435bf943,4,6,6,mei_final,0.6667,0.5
vllm,21146,d3b28f3f8a1f6847ec0c70fa86746350,4,6,6,mei_final,0.6667,0.5
vllm,21146,d3b28f3f8a1f6847ec0c70fa86746350,4,6,6,mei_final,0.6667,0.5
vllm,21146,7271dd511b10c601d9f4ae9fcbd2491b,4,6,6,mei_final,0.6667,0.5
vllm,21146,5d4e83d388346413b3d0480104e4746f,4,6,6,mei_final,0.6667,0.5
vllm,21146,7811b712100df7fdf0d6d31c337e653e,4,6,6,mei_final,0.6667,0.5
vllm,21146,992ba7ff38a76cdfbd4952e0bf34abb7,4,6,6,mei_final,0.6667,0.5
vllm,21146,2b4ac22a39f0f1092bf60974435bf943,4,6,6,mei_final,0.6667,0.5
vllm,21146,325b15632d41841e4cd890901f83cf55,4,6,6,mei_final,0.6667,0.5
vllm,21146,90fb921cd4a36803b72f1ce7fcd3233b,4,6,6,mei_final,0.6667,0.5
vllm,21146,c0f0a0b8d6eebde3fe430dea5cd67cd6,4,6,6,mei_final,0.6667,0.5
vllm,21146,f617fc36dc7522ea24f5d951e0595bc2,4,6,6,mei_final,0.6667,0.5
vllm,21146,325b15632d41841e4cd890901f83cf55,4,6,6,mei_final,0.6667,0.5
vllm,21146,5a6bb00ac517ec6d7d3b2cca6f50205e,4,6,6,mei_final,0.6667,0.5
vllm,21146,90fb921cd4a36803b72f1ce7fcd3233b,4,6,6,mei_final,0.6667,0.5
vllm,21146,5cf8f1af7535789e5e316e7e41385afc,5,6,6,mei_final,0.8333,0.3333
vllm,21146,2e23be7d1c8c0afe13e0f12cb089be4e,5,6,6,mei_final,0.8333,0.3333
vllm,21146,5cf8f1af7535789e5e316e7e41385afc,5,6,6,mei_final,0.8333,0.3333
vllm,21146,1aead6951a2b5d243e93ad86e86199ab,5,6,6,mei_final,0.8333,0.3333
vllm,21146,1d31b5de6eedf421c7e224a9bd294084,5,6,6,mei_final,0.8333,0.3333
vllm,21146,62eed69259087ebd23d42a023a27dc75,5,6,6,mei_final,0.8333,0.3333
vllm,21146,1d31b5de6eedf421c7e224a9bd294084,5,6,6,mei_final,0.8333,0.3333
vllm,21146,2ba4d4bbbb10b10ef1eee1ed2623cc5d,5,6,6,mei_final,0.8333,0.3333
vllm,21146,1aead6951a2b5d243e93ad86e86199ab,5,6,6,mei_final,0.8333,0.3333
vllm,21146,62eed69259087ebd23d42a023a27dc75,5,6,6,mei_final,0.8333,0.3333
vllm,21146,2ba4d4bbbb10b10ef1eee1ed2623cc5d,5,6,6,mei_final,0.8333,0.3333
