project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
fromthepage,4765,5d867016c2c514f6b73f1cf4441c80ea,5,5,5,unique_final,1.0,0.2
fromthepage,4765,d92973e96aee56e7818edd27a6fa5266,5,5,5,unique_final,1.0,0.2
fromthepage,4765,4ffeb9509553e8973cd478dc822623d3,5,5,5,unique_final,1.0,0.2
fromthepage,4765,6fc3cdc9298da1fe608a45a761b29b15,5,5,5,unique_final,1.0,0.2
fromthepage,4765,64f620a4c09b9febfab3a7fefa39add7,5,5,5,unique_final,1.0,0.2
fromthepage,4765,c5568a3ef169ff422e8ff7ad12593bd9,5,5,5,unique_final,1.0,0.2
fromthepage,4765,367e7af55f23ed5f8249680c6f873eae,5,5,5,unique_final,1.0,0.2
fromthepage,4765,64f620a4c09b9febfab3a7fefa39add7,5,5,5,unique_final,1.0,0.2
fromthepage,4765,32f2c9a6c6412a9e9bb8c746ad57ecb0,5,5,5,unique_final,1.0,0.2
fromthepage,4765,5d867016c2c514f6b73f1cf4441c80ea,5,5,5,unique_final,1.0,0.2
fromthepage,4765,11beb6f63e9c03c43744186208443d9d,5,5,5,unique_final,1.0,0.2
fromthepage,4765,6fc3cdc9298da1fe608a45a761b29b15,5,5,5,unique_final,1.0,0.2
fromthepage,4765,c5568a3ef169ff422e8ff7ad12593bd9,5,5,5,unique_final,1.0,0.2
fromthepage,4765,f93823d1d9da81ff3e391036870f68c5,5,5,5,unique_final,1.0,0.2
fromthepage,4765,c5568a3ef169ff422e8ff7ad12593bd9,5,5,5,unique_final,1.0,0.2
fromthepage,4765,daeaf4d0b5d6458665c3084f4f808d3f,5,5,5,unique_final,1.0,0.2
fromthepage,4765,bb3260a004589e22b0b1c6ce3acad1e6,5,5,5,unique_final,1.0,0.2
fromthepage,4765,f93823d1d9da81ff3e391036870f68c5,5,5,5,unique_final,1.0,0.2
fromthepage,4765,daeaf4d0b5d6458665c3084f4f808d3f,5,5,5,unique_final,1.0,0.2
fromthepage,4765,5d867016c2c514f6b73f1cf4441c80ea,5,5,5,unique_final,1.0,0.2
fromthepage,4765,367e7af55f23ed5f8249680c6f873eae,5,5,5,unique_final,1.0,0.2
fromthepage,4765,5d867016c2c514f6b73f1cf4441c80ea,5,5,5,unique_final,1.0,0.2
fromthepage,4765,ca2cd930d9f46e61d7daec14da5c38b8,5,5,5,unique_final,1.0,0.2
fromthepage,4765,11beb6f63e9c03c43744186208443d9d,5,5,5,unique_final,1.0,0.2
fromthepage,4765,f93823d1d9da81ff3e391036870f68c5,5,5,5,unique_final,1.0,0.2
fromthepage,4794,c127e8198e72dc48685dd12abb62d0a2,1,4,7,ini_mei,0.0,0.5714
fromthepage,4794,401bcc8d62bdfcb0396dae7599ca4f12,1,4,7,ini_mei,0.0,0.5714
fromthepage,4794,c3ad8264dafb32c05d8d19b4824406d3,1,4,7,ini_mei,0.0,0.5714
fromthepage,4794,a4c5c721833b8d00d3ac56cb8ec2e404,1,4,7,ini_mei,0.0,0.5714
fromthepage,4794,4ffeb9509553e8973cd478dc822623d3,1,4,7,ini_mei,0.0,0.5714
fromthepage,4794,c3ad8264dafb32c05d8d19b4824406d3,5,7,7,mei_final,0.7143,0.4286
fromthepage,4794,6fc3cdc9298da1fe608a45a761b29b15,5,7,7,mei_final,0.7143,0.4286
fromthepage,4794,c127e8198e72dc48685dd12abb62d0a2,5,7,7,mei_final,0.7143,0.4286
fromthepage,4794,bb3260a004589e22b0b1c6ce3acad1e6,5,7,7,mei_final,0.7143,0.4286
fromthepage,4794,d92973e96aee56e7818edd27a6fa5266,5,7,7,mei_final,0.7143,0.4286
fromthepage,4794,401bcc8d62bdfcb0396dae7599ca4f12,5,7,7,mei_final,0.7143,0.4286
fromthepage,4794,4ffeb9509553e8973cd478dc822623d3,5,7,7,mei_final,0.7143,0.4286
fromthepage,4794,a4c5c721833b8d00d3ac56cb8ec2e404,5,7,7,mei_final,0.7143,0.4286
