project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
middleman-syntax,92,c6120d307683ced006324c3a67c03c15,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,1056eda5722b78ba82510aff8f03f772,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,1f430e1439df0b8ab244eb1000b807e1,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,5d942f6e34316d308e1a905467835f84,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,230cac341d0deabe7ccc2e17e76074e9,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,a2683d48b761140db83cb97820aedad8,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,239aa2c5f2890115e7e8c6931999a53d,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,de721eca193c5c1b6b98844037c78c48,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,04e162a1b560596abedb5bffb0e1cf32,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,24b57a850de4b712173cd7c10a112ce6,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,c50e893c3f405cd106921a9602e364bf,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,6758c6af0a2ca5b872dbeef205f9a0ac,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,9441026ff1b3bdf25f38e8c53960af4d,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,1b23f38f8fb38c3095ec0d1b6756dde2,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,6250c51162a3b2ded4ae28d5ddf2dbdd,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,8cb645804cc00f31d31dff6ce457f338,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,24b57a850de4b712173cd7c10a112ce6,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,f47d33e9a6760c9ea3d4897566cba251,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,d9bacbf579bbb9b4711f942c7ebd82a5,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,239f7dea801cbbe23360487f4c0eaece,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,c50e893c3f405cd106921a9602e364bf,1,2,3,ini_mei,0.0,0.6667
middleman-syntax,92,8809efee626580b03bd7cfb9f8852987,1,2,3,ini_mei,0.0,0.6667
