project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
onetimesecret,1538,57c0e918ba0e3674bff2ca450437b134,15,17,29,mei,0.5172,0.1034
onetimesecret,1577,a3b287414dd157825ffc49d33f8531b2,1,5,10,ini_mei,0.0,0.5
onetimesecret,1577,a3b287414dd157825ffc49d33f8531b2,1,5,10,ini_mei,0.0,0.5
onetimesecret,1577,a3b287414dd157825ffc49d33f8531b2,1,5,10,ini_mei,0.0,0.5
onetimesecret,1577,67a8b5fb3dbc46a105a2d568f1e89553,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,7ea25c343c466dbdb259686ae008ca03,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,e548e231303faece82ed58ad4c7e5100,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,34523c4cecc047c92b375b957afb0925,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,53f1e408468274127b66ff67aa13cd7b,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,a1c4bef12cfbfcc36e0c3ebba2ea0edd,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,83dc5068bc5a6856df934a7e397479ea,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,c3117088e41c5a0e0f12e7d218aca2e1,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,83dc5068bc5a6856df934a7e397479ea,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,e79307ca5e738d6edda612485017a60b,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,67a8b5fb3dbc46a105a2d568f1e89553,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,9f33208a88358ebaa40dc06f6a0f719e,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,9f33208a88358ebaa40dc06f6a0f719e,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,19b4db1b8e94cd24f9def0fc193fdd6b,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,7ea25c343c466dbdb259686ae008ca03,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,34523c4cecc047c92b375b957afb0925,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,5d074a3173c4478ebfbc6b42b0f9d766,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,a1c4bef12cfbfcc36e0c3ebba2ea0edd,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,570c2a84e4b25747b1ad20a19a8f0b0e,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,a1c4bef12cfbfcc36e0c3ebba2ea0edd,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,c3117088e41c5a0e0f12e7d218aca2e1,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,83dc5068bc5a6856df934a7e397479ea,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,19b4db1b8e94cd24f9def0fc193fdd6b,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,e548e231303faece82ed58ad4c7e5100,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,5d074a3173c4478ebfbc6b42b0f9d766,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,9f33208a88358ebaa40dc06f6a0f719e,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,e79307ca5e738d6edda612485017a60b,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,570c2a84e4b25747b1ad20a19a8f0b0e,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,53f1e408468274127b66ff67aa13cd7b,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,9f33208a88358ebaa40dc06f6a0f719e,1,10,10,ini_mei_final,0.0,1.0
onetimesecret,1577,c5d873d15eeb43737b5a2a711f99a5c5,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,5f5c23e973921e6ef7447fab01fe42d5,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,c5d873d15eeb43737b5a2a711f99a5c5,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,39848bc1af65d5fd57e7ae4eb594eba4,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,1572db0d79152d2dbd65ef0237de7bdc,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,b6353072a5566452ed0531018db24c3f,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,b6353072a5566452ed0531018db24c3f,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,1572db0d79152d2dbd65ef0237de7bdc,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,5f5c23e973921e6ef7447fab01fe42d5,6,10,10,mei_final,0.6,0.5
onetimesecret,1577,39848bc1af65d5fd57e7ae4eb594eba4,6,10,10,mei_final,0.6,0.5
