project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
roast,76,4a2a78919eefb118bd5e5b1a0f04640a,1,5,8,ini_mei,0.0,0.625
roast,76,4a2a78919eefb118bd5e5b1a0f04640a,1,5,8,ini_mei,0.0,0.625
roast,76,9692231508ebfc86005276bdc374a8e3,1,8,8,ini_mei_final,0.0,1.0
roast,76,d2e2d8acdb5ba0b632d965945d91ee5f,1,8,8,ini_mei_final,0.0,1.0
roast,76,2d26239f8cb7b1a7a635f2584ad7fa40,1,8,8,ini_mei_final,0.0,1.0
roast,76,71b750be80756990fa9adcd5c8f33e21,1,8,8,ini_mei_final,0.0,1.0
roast,76,6534042e08aae07056af8b4f045a0484,1,8,8,ini_mei_final,0.0,1.0
roast,76,9692231508ebfc86005276bdc374a8e3,1,8,8,ini_mei_final,0.0,1.0
roast,76,751588cea207d5212adde065cb24bc70,1,8,8,ini_mei_final,0.0,1.0
roast,76,71b750be80756990fa9adcd5c8f33e21,1,8,8,ini_mei_final,0.0,1.0
roast,76,6534042e08aae07056af8b4f045a0484,1,8,8,ini_mei_final,0.0,1.0
roast,76,d453e58390dd24c7bf83a3adbef9c59b,1,8,8,ini_mei_final,0.0,1.0
roast,76,2d26239f8cb7b1a7a635f2584ad7fa40,1,8,8,ini_mei_final,0.0,1.0
roast,76,4b485f55e33e5c5fe9ada72dce1d1777,1,8,8,ini_mei_final,0.0,1.0
roast,76,4b485f55e33e5c5fe9ada72dce1d1777,1,8,8,ini_mei_final,0.0,1.0
roast,76,03ae484efb41cacd71fc4c9f789a3bf4,1,8,8,ini_mei_final,0.0,1.0
roast,76,03ae484efb41cacd71fc4c9f789a3bf4,1,8,8,ini_mei_final,0.0,1.0
roast,76,c8450b86a98455b816431ae01aa44fc9,1,8,8,ini_mei_final,0.0,1.0
roast,76,d2e2d8acdb5ba0b632d965945d91ee5f,1,8,8,ini_mei_final,0.0,1.0
roast,76,751588cea207d5212adde065cb24bc70,1,8,8,ini_mei_final,0.0,1.0
roast,76,c8450b86a98455b816431ae01aa44fc9,1,8,8,ini_mei_final,0.0,1.0
roast,76,c8450b86a98455b816431ae01aa44fc9,1,8,8,ini_mei_final,0.0,1.0
roast,76,d453e58390dd24c7bf83a3adbef9c59b,1,8,8,ini_mei_final,0.0,1.0
roast,76,328c8387c132f10343f6bfc75f268ac5,6,8,8,mei_final,0.75,0.375
roast,76,328c8387c132f10343f6bfc75f268ac5,6,8,8,mei_final,0.75,0.375
roast,244,6861dae8c39fa6e664e1749744997b1b,4,5,11,mei,0.3636,0.1818
roast,244,6861dae8c39fa6e664e1749744997b1b,6,6,11,unique_mei,0.5455,0.0909
roast,244,6861dae8c39fa6e664e1749744997b1b,4,11,11,mei_final,0.3636,0.7273
roast,244,6861dae8c39fa6e664e1749744997b1b,7,11,11,mei_final,0.6364,0.4545
roast,244,d19c1ff0ffd93778106f958d7a9efeea,9,11,11,mei_final,0.8182,0.2727
roast,244,03ae484efb41cacd71fc4c9f789a3bf4,9,11,11,mei_final,0.8182,0.2727
roast,244,03ae484efb41cacd71fc4c9f789a3bf4,9,11,11,mei_final,0.8182,0.2727
roast,244,a83c4fad22bac2983683867266d11a42,9,11,11,mei_final,0.8182,0.2727
roast,244,a83c4fad22bac2983683867266d11a42,9,11,11,mei_final,0.8182,0.2727
roast,244,b035ae016b1f7aa4bf3ea497934ba44d,9,11,11,mei_final,0.8182,0.2727
roast,244,b035ae016b1f7aa4bf3ea497934ba44d,9,11,11,mei_final,0.8182,0.2727
roast,244,b035ae016b1f7aa4bf3ea497934ba44d,9,11,11,mei_final,0.8182,0.2727
roast,245,a93e63a9eb375c872d75339f58c2e5e0,1,2,10,ini_mei,0.0,0.2
roast,245,a93e63a9eb375c872d75339f58c2e5e0,1,3,10,ini_mei,0.0,0.3
roast,245,a93e63a9eb375c872d75339f58c2e5e0,3,3,10,unique_mei,0.3,0.1
roast,245,556b77e93c3b14a631770c94833a5739,1,10,10,ini_mei_final,0.0,1.0
roast,245,c67d41dbe99a35b66fa0410b206db221,4,10,10,mei_final,0.4,0.7
roast,245,c67d41dbe99a35b66fa0410b206db221,4,10,10,mei_final,0.4,0.7
roast,245,9758508d2fe73af40befbeee83ff17f1,7,10,10,mei_final,0.7,0.4
roast,245,9758508d2fe73af40befbeee83ff17f1,7,10,10,mei_final,0.7,0.4
