project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
rubocop-github,312,379c67c10bc8f41038d4a68304f7cd03,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,29e786cd07c6f8cf36daa132587935f8,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,f2dfe039ce809cce934ca7cd6637449c,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,f5024062860eca68a561a8189c8dad38,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,ee3a506edfde95f79ac7a5a5bb366010,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,088e84ff7a5edac65156dca15452459b,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,100c382e321805137704a9d13161c123,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,ac446dfddb55d9a53fcecc791023b0e5,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,c5cb1290982330d5bdc58c1a35db96bb,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,0a2ddcd91f433fe57ba7dc1ceb372173,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,310cb7215952114a2cb63777828dce4f,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,c3f5b1d6b7e79dd20c241e5e73aca4b3,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,a202e6937c17088b5a3e7c93d5ec2be6,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,0dde1e05d7a7573bff233903570def56,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,0a2ddcd91f433fe57ba7dc1ceb372173,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,4f10b59d2b5adfac7029b8cc2ffac018,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,111ad77bc1c33d5efa7f1b284f1aa8af,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,e61d99159de94459326ea7daa3d8a961,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,42450595d18542ac8747f588fddde4b8,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,39fa411c2a5d3b23a2f11931ab41b266,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,bfd698ee3c041f2f77718dd8724c0dfa,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,f5024062860eca68a561a8189c8dad38,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,c5cb1290982330d5bdc58c1a35db96bb,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,9ef0244a0817115f16156f3a3c2db8f0,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,0a2ddcd91f433fe57ba7dc1ceb372173,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,0a2ddcd91f433fe57ba7dc1ceb372173,1,2,2,ini_mei_final,0.0,1.0
rubocop-github,312,1bd4117fe58f6bd050041a3676eecc2d,1,2,2,ini_mei_final,0.0,1.0
