project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
tramline,852,7541f1acf61a38fc2482c8c9d94834e3,1,10,27,ini_mei,0.0,0.3704
tramline,852,9491f0ebdbe07089e0bb21b77871d7ca,1,10,27,ini_mei,0.0,0.3704
tramline,852,9491f0ebdbe07089e0bb21b77871d7ca,1,11,27,ini_mei,0.0,0.4074
tramline,852,9491f0ebdbe07089e0bb21b77871d7ca,11,11,27,unique_mei,0.4074,0.037
tramline,852,1dc1071ec29e3f6d25c058c3c729eeba,12,12,27,unique_mei,0.4444,0.037
tramline,852,7541f1acf61a38fc2482c8c9d94834e3,11,14,27,mei,0.4074,0.1481
tramline,852,1dc1071ec29e3f6d25c058c3c729eeba,13,14,27,mei,0.4815,0.0741
tramline,852,7541f1acf61a38fc2482c8c9d94834e3,15,18,27,mei,0.5556,0.1481
tramline,852,1dc1071ec29e3f6d25c058c3c729eeba,15,20,27,mei,0.5556,0.2222
tramline,852,7541f1acf61a38fc2482c8c9d94834e3,19,20,27,mei,0.7037,0.0741
tramline,852,f3f77aa5e898e4bbf48cbf46c9f367cd,8,23,27,mei,0.2963,0.5926
tramline,852,f3f77aa5e898e4bbf48cbf46c9f367cd,8,23,27,mei,0.2963,0.5926
tramline,852,1dc1071ec29e3f6d25c058c3c729eeba,12,25,27,mei,0.4444,0.5185
tramline,852,1dc1071ec29e3f6d25c058c3c729eeba,21,25,27,mei,0.7778,0.1852
tramline,852,7541f1acf61a38fc2482c8c9d94834e3,21,25,27,mei,0.7778,0.1852
tramline,852,7541f1acf61a38fc2482c8c9d94834e3,1,27,27,ini_mei_final,0.0,1.0
tramline,852,7541f1acf61a38fc2482c8c9d94834e3,26,27,27,mei_final,0.963,0.0741
tramline,855,1eb7bafe6014a0cca79782e1e5959741,1,2,28,ini_mei,0.0,0.0714
tramline,855,1eb7bafe6014a0cca79782e1e5959741,1,2,28,ini_mei,0.0,0.0714
tramline,855,1eb7bafe6014a0cca79782e1e5959741,1,2,28,ini_mei,0.0,0.0714
tramline,855,7541f1acf61a38fc2482c8c9d94834e3,7,7,28,unique_mei,0.25,0.0357
tramline,855,7541f1acf61a38fc2482c8c9d94834e3,7,7,28,unique_mei,0.25,0.0357
tramline,855,1eb7bafe6014a0cca79782e1e5959741,3,28,28,mei_final,0.1071,0.9286
tramline,855,1eb7bafe6014a0cca79782e1e5959741,3,28,28,mei_final,0.1071,0.9286
tramline,855,1eb7bafe6014a0cca79782e1e5959741,3,28,28,mei_final,0.1071,0.9286
tramline,855,7541f1acf61a38fc2482c8c9d94834e3,9,28,28,mei_final,0.3214,0.7143
tramline,855,7541f1acf61a38fc2482c8c9d94834e3,9,28,28,mei_final,0.3214,0.7143
