linguagem,categoria,quantidade
Java,unique_ini_mei_final,140
Java,unique_final,63
Java,ini_mei_final,20
Java,mei_final,14
Java,unique_ini,9
Java,unique_mei,8
Java,ini_mei,4
Java,mei,4
Ruby,mei_final,11
Ruby,ini_mei_final,10
Ruby,ini_mei,9
Ruby,unique_mei,6
Ruby,mei,4
Ruby,unique_ini,2
Ruby,unique_ini_mei_final,2
Ruby,unique_final,1
Python,mei_final,75
Python,unique_ini_mei_final,45
Python,unique_final,41
Python,ini_mei_final,36
Python,mei,30
Python,unique_ini,27
Python,unique_mei,27
Python,ini_mei,15
C#,mei_final,23
C#,unique_ini_mei_final,21
C#,unique_final,17
C#,unique_mei,14
C#,ini_mei_final,13
C#,unique_ini,12
C#,mei,9
C#,ini_mei,4
